salesorderid,salesreasonid,name,reasontype
43987,5,Manufacturer,Other
43987,9,Quality,Other
43989,5,Manufacturer,Other
43989,9,Quality,Other
43991,5,Manufacturer,Other
43991,9,Quality,Other
43992,5,Manufacturer,Other
43992,9,Quality,Other
43993,5,Manufacturer,Other
43993,9,Quality,Other
43994,5,Manufacturer,Other
43994,9,Quality,Other
43995,5,Manufacturer,Other
43995,9,Quality,Other
43996,5,Manufacturer,Other
43996,9,Quality,Other
43997,5,Manufacturer,Other
43997,9,Quality,Other
43999,5,Manufacturer,Other
43999,9,Quality,Other
44000,5,Manufacturer,Other
44000,9,Quality,Other
44001,5,Manufacturer,Other
44001,9,Quality,Other
44004,5,Manufacturer,Other
44004,9,Quality,Other
44006,5,Manufacturer,Other
44006,9,Quality,Other
44008,5,Manufacturer,Other
44008,9,Quality,Other
44009,5,Manufacturer,Other
44009,9,Quality,Other
44010,5,Manufacturer,Other
44010,9,Quality,Other
44011,5,Manufacturer,Other
44011,9,Quality,Other
44013,5,Manufacturer,Other
44013,9,Quality,Other
44014,5,Manufacturer,Other
44014,9,Quality,Other
44015,5,Manufacturer,Other
44015,9,Quality,Other
44017,5,Manufacturer,Other
44017,9,Quality,Other
44019,5,Manufacturer,Other
44019,9,Quality,Other
44020,5,Manufacturer,Other
44020,9,Quality,Other
44022,5,Manufacturer,Other
44022,9,Quality,Other
44024,5,Manufacturer,Other
44024,9,Quality,Other
44025,5,Manufacturer,Other
44025,9,Quality,Other
44026,5,Manufacturer,Other
44026,9,Quality,Other
44027,5,Manufacturer,Other
44027,9,Quality,Other
44028,5,Manufacturer,Other
44028,9,Quality,Other
44030,5,Manufacturer,Other
44030,9,Quality,Other
44031,5,Manufacturer,Other
44031,9,Quality,Other
44033,5,Manufacturer,Other
44033,9,Quality,Other
44034,5,Manufacturer,Other
44034,9,Quality,Other
44035,5,Manufacturer,Other
44035,9,Quality,Other
44036,5,Manufacturer,Other
44036,9,Quality,Other
44041,5,Manufacturer,Other
44041,9,Quality,Other
44042,5,Manufacturer,Other
44042,9,Quality,Other
44043,5,Manufacturer,Other
44043,9,Quality,Other
44044,5,Manufacturer,Other
44044,9,Quality,Other
44046,5,Manufacturer,Other
44046,9,Quality,Other
44048,5,Manufacturer,Other
44048,9,Quality,Other
44049,5,Manufacturer,Other
44049,9,Quality,Other
44050,5,Manufacturer,Other
44050,9,Quality,Other
44051,5,Manufacturer,Other
44051,9,Quality,Other
44052,5,Manufacturer,Other
44052,9,Quality,Other
44054,5,Manufacturer,Other
44054,9,Quality,Other
44055,5,Manufacturer,Other
44055,9,Quality,Other
44056,5,Manufacturer,Other
44056,9,Quality,Other
44059,5,Manufacturer,Other
44059,9,Quality,Other
44061,5,Manufacturer,Other
44061,9,Quality,Other
44062,5,Manufacturer,Other
44062,9,Quality,Other
44064,5,Manufacturer,Other
44064,9,Quality,Other
44065,5,Manufacturer,Other
44065,9,Quality,Other
44067,5,Manufacturer,Other
44067,9,Quality,Other
44068,5,Manufacturer,Other
44068,9,Quality,Other
44071,5,Manufacturer,Other
44071,9,Quality,Other
44072,5,Manufacturer,Other
44072,9,Quality,Other
44134,5,Manufacturer,Other
44134,9,Quality,Other
44135,5,Manufacturer,Other
44135,9,Quality,Other
44136,5,Manufacturer,Other
44136,9,Quality,Other
44137,5,Manufacturer,Other
44137,9,Quality,Other
44138,5,Manufacturer,Other
44138,9,Quality,Other
44139,5,Manufacturer,Other
44139,9,Quality,Other
44140,5,Manufacturer,Other
44140,9,Quality,Other
44141,5,Manufacturer,Other
44141,9,Quality,Other
44142,5,Manufacturer,Other
44142,9,Quality,Other
44143,5,Manufacturer,Other
44143,9,Quality,Other
44144,5,Manufacturer,Other
44144,9,Quality,Other
44145,5,Manufacturer,Other
44145,9,Quality,Other
44146,5,Manufacturer,Other
44146,9,Quality,Other
44147,5,Manufacturer,Other
44147,9,Quality,Other
44148,5,Manufacturer,Other
44148,9,Quality,Other
44149,5,Manufacturer,Other
44149,9,Quality,Other
44150,5,Manufacturer,Other
44150,9,Quality,Other
44153,5,Manufacturer,Other
44153,9,Quality,Other
44154,5,Manufacturer,Other
44154,9,Quality,Other
44155,5,Manufacturer,Other
44155,9,Quality,Other
44157,5,Manufacturer,Other
44157,9,Quality,Other
44158,5,Manufacturer,Other
44158,9,Quality,Other
44159,5,Manufacturer,Other
44159,9,Quality,Other
44160,5,Manufacturer,Other
44160,9,Quality,Other
44161,5,Manufacturer,Other
44161,9,Quality,Other
44162,5,Manufacturer,Other
44162,9,Quality,Other
44163,5,Manufacturer,Other
44163,9,Quality,Other
44164,5,Manufacturer,Other
44164,9,Quality,Other
44165,5,Manufacturer,Other
44165,9,Quality,Other
44167,5,Manufacturer,Other
44167,9,Quality,Other
44168,5,Manufacturer,Other
44168,9,Quality,Other
44169,5,Manufacturer,Other
44169,9,Quality,Other
44170,5,Manufacturer,Other
44170,9,Quality,Other
44171,5,Manufacturer,Other
44171,9,Quality,Other
44173,5,Manufacturer,Other
44173,9,Quality,Other
44174,5,Manufacturer,Other
44174,9,Quality,Other
44175,5,Manufacturer,Other
44175,9,Quality,Other
44176,5,Manufacturer,Other
44176,9,Quality,Other
44178,5,Manufacturer,Other
44178,9,Quality,Other
44181,5,Manufacturer,Other
44181,9,Quality,Other
44182,5,Manufacturer,Other
44182,9,Quality,Other
44183,5,Manufacturer,Other
44183,9,Quality,Other
44184,5,Manufacturer,Other
44184,9,Quality,Other
44185,5,Manufacturer,Other
44185,9,Quality,Other
44187,5,Manufacturer,Other
44187,9,Quality,Other
44191,5,Manufacturer,Other
44191,9,Quality,Other
44192,5,Manufacturer,Other
44192,9,Quality,Other
44193,5,Manufacturer,Other
44193,9,Quality,Other
44194,5,Manufacturer,Other
44194,9,Quality,Other
44195,5,Manufacturer,Other
44195,9,Quality,Other
44196,5,Manufacturer,Other
44196,9,Quality,Other
44197,5,Manufacturer,Other
44197,9,Quality,Other
44198,5,Manufacturer,Other
44198,9,Quality,Other
44199,5,Manufacturer,Other
44199,9,Quality,Other
44200,5,Manufacturer,Other
44200,9,Quality,Other
44201,5,Manufacturer,Other
44201,9,Quality,Other
44202,5,Manufacturer,Other
44202,9,Quality,Other
44203,5,Manufacturer,Other
44203,9,Quality,Other
44205,5,Manufacturer,Other
44205,9,Quality,Other
44207,5,Manufacturer,Other
44207,9,Quality,Other
44209,5,Manufacturer,Other
44209,9,Quality,Other
44210,5,Manufacturer,Other
44210,9,Quality,Other
44211,5,Manufacturer,Other
44211,9,Quality,Other
44212,5,Manufacturer,Other
44212,9,Quality,Other
44213,5,Manufacturer,Other
44213,9,Quality,Other
44214,5,Manufacturer,Other
44214,9,Quality,Other
44215,5,Manufacturer,Other
44215,9,Quality,Other
44216,5,Manufacturer,Other
44216,9,Quality,Other
44217,5,Manufacturer,Other
44217,9,Quality,Other
44218,5,Manufacturer,Other
44218,9,Quality,Other
44221,5,Manufacturer,Other
44221,9,Quality,Other
44222,5,Manufacturer,Other
44222,9,Quality,Other
44223,5,Manufacturer,Other
44223,9,Quality,Other
44224,5,Manufacturer,Other
44224,9,Quality,Other
44226,5,Manufacturer,Other
44226,9,Quality,Other
44230,5,Manufacturer,Other
44230,9,Quality,Other
44232,5,Manufacturer,Other
44232,9,Quality,Other
44233,5,Manufacturer,Other
44233,9,Quality,Other
44234,5,Manufacturer,Other
44234,9,Quality,Other
44235,5,Manufacturer,Other
44235,9,Quality,Other
44236,5,Manufacturer,Other
44236,9,Quality,Other
44237,5,Manufacturer,Other
44237,9,Quality,Other
44238,5,Manufacturer,Other
44238,9,Quality,Other
44239,5,Manufacturer,Other
44239,9,Quality,Other
44240,5,Manufacturer,Other
44240,9,Quality,Other
44241,5,Manufacturer,Other
44241,9,Quality,Other
44242,5,Manufacturer,Other
44242,9,Quality,Other
44243,5,Manufacturer,Other
44243,9,Quality,Other
44244,5,Manufacturer,Other
44244,9,Quality,Other
44246,5,Manufacturer,Other
44246,9,Quality,Other
44247,5,Manufacturer,Other
44247,9,Quality,Other
44248,5,Manufacturer,Other
44248,9,Quality,Other
44249,5,Manufacturer,Other
44249,9,Quality,Other
44250,5,Manufacturer,Other
44250,9,Quality,Other
44251,5,Manufacturer,Other
44251,9,Quality,Other
44252,5,Manufacturer,Other
44252,9,Quality,Other
44253,5,Manufacturer,Other
44253,9,Quality,Other
44254,5,Manufacturer,Other
44254,9,Quality,Other
44256,5,Manufacturer,Other
44256,9,Quality,Other
44257,5,Manufacturer,Other
44257,9,Quality,Other
44258,5,Manufacturer,Other
44258,9,Quality,Other
44259,5,Manufacturer,Other
44259,9,Quality,Other
44260,5,Manufacturer,Other
44260,9,Quality,Other
44261,5,Manufacturer,Other
44261,9,Quality,Other
44263,5,Manufacturer,Other
44263,9,Quality,Other
44264,5,Manufacturer,Other
44264,9,Quality,Other
44268,5,Manufacturer,Other
44268,9,Quality,Other
44270,5,Manufacturer,Other
44270,9,Quality,Other
44271,5,Manufacturer,Other
44271,9,Quality,Other
44272,5,Manufacturer,Other
44272,9,Quality,Other
44273,5,Manufacturer,Other
44273,9,Quality,Other
44274,5,Manufacturer,Other
44274,9,Quality,Other
44275,5,Manufacturer,Other
44275,9,Quality,Other
44276,5,Manufacturer,Other
44276,9,Quality,Other
44277,5,Manufacturer,Other
44277,9,Quality,Other
44278,5,Manufacturer,Other
44278,9,Quality,Other
44279,5,Manufacturer,Other
44279,9,Quality,Other
44320,5,Manufacturer,Other
44320,9,Quality,Other
44321,5,Manufacturer,Other
44321,9,Quality,Other
44324,5,Manufacturer,Other
44324,9,Quality,Other
44326,5,Manufacturer,Other
44326,9,Quality,Other
44327,5,Manufacturer,Other
44327,9,Quality,Other
44328,5,Manufacturer,Other
44328,9,Quality,Other
44329,5,Manufacturer,Other
44329,9,Quality,Other
44330,5,Manufacturer,Other
44330,9,Quality,Other
44331,5,Manufacturer,Other
44331,9,Quality,Other
44332,5,Manufacturer,Other
44332,9,Quality,Other
44334,5,Manufacturer,Other
44334,9,Quality,Other
44338,5,Manufacturer,Other
44338,9,Quality,Other
44339,5,Manufacturer,Other
44339,9,Quality,Other
44340,5,Manufacturer,Other
44340,9,Quality,Other
44343,5,Manufacturer,Other
44343,9,Quality,Other
44344,5,Manufacturer,Other
44344,9,Quality,Other
44345,5,Manufacturer,Other
44345,9,Quality,Other
44347,5,Manufacturer,Other
44347,9,Quality,Other
44348,5,Manufacturer,Other
44348,9,Quality,Other
44349,5,Manufacturer,Other
44349,9,Quality,Other
44350,5,Manufacturer,Other
44350,9,Quality,Other
44351,5,Manufacturer,Other
44351,9,Quality,Other
44352,5,Manufacturer,Other
44352,9,Quality,Other
44357,5,Manufacturer,Other
44357,9,Quality,Other
44358,5,Manufacturer,Other
44358,9,Quality,Other
44359,5,Manufacturer,Other
44359,9,Quality,Other
44360,5,Manufacturer,Other
44360,9,Quality,Other
44361,5,Manufacturer,Other
44361,9,Quality,Other
44362,5,Manufacturer,Other
44362,9,Quality,Other
44363,5,Manufacturer,Other
44363,9,Quality,Other
44365,5,Manufacturer,Other
44365,9,Quality,Other
44366,5,Manufacturer,Other
44366,9,Quality,Other
44368,5,Manufacturer,Other
44368,9,Quality,Other
44369,5,Manufacturer,Other
44369,9,Quality,Other
44370,5,Manufacturer,Other
44370,9,Quality,Other
44371,5,Manufacturer,Other
44371,9,Quality,Other
44372,5,Manufacturer,Other
44372,9,Quality,Other
44373,5,Manufacturer,Other
44373,9,Quality,Other
44374,5,Manufacturer,Other
44374,9,Quality,Other
44375,5,Manufacturer,Other
44375,9,Quality,Other
44377,5,Manufacturer,Other
44377,9,Quality,Other
44380,5,Manufacturer,Other
44380,9,Quality,Other
44381,5,Manufacturer,Other
44381,9,Quality,Other
44383,5,Manufacturer,Other
44383,9,Quality,Other
44384,5,Manufacturer,Other
44384,9,Quality,Other
44385,5,Manufacturer,Other
44385,9,Quality,Other
44386,5,Manufacturer,Other
44386,9,Quality,Other
44388,5,Manufacturer,Other
44388,9,Quality,Other
44389,5,Manufacturer,Other
44389,9,Quality,Other
44390,5,Manufacturer,Other
44390,9,Quality,Other
44391,5,Manufacturer,Other
44391,9,Quality,Other
44392,5,Manufacturer,Other
44392,9,Quality,Other
44394,5,Manufacturer,Other
44394,9,Quality,Other
44395,5,Manufacturer,Other
44395,9,Quality,Other
44398,5,Manufacturer,Other
44398,9,Quality,Other
44399,5,Manufacturer,Other
44399,9,Quality,Other
44400,5,Manufacturer,Other
44400,9,Quality,Other
44401,5,Manufacturer,Other
44401,9,Quality,Other
44402,5,Manufacturer,Other
44402,9,Quality,Other
44404,5,Manufacturer,Other
44404,9,Quality,Other
44405,5,Manufacturer,Other
44405,9,Quality,Other
44406,5,Manufacturer,Other
44406,9,Quality,Other
44410,5,Manufacturer,Other
44410,9,Quality,Other
44411,5,Manufacturer,Other
44411,9,Quality,Other
44413,5,Manufacturer,Other
44413,9,Quality,Other
44414,5,Manufacturer,Other
44414,9,Quality,Other
44415,5,Manufacturer,Other
44415,9,Quality,Other
44417,5,Manufacturer,Other
44417,9,Quality,Other
44418,5,Manufacturer,Other
44418,9,Quality,Other
44419,5,Manufacturer,Other
44419,9,Quality,Other
44420,5,Manufacturer,Other
44420,9,Quality,Other
44421,5,Manufacturer,Other
44421,9,Quality,Other
44423,5,Manufacturer,Other
44423,9,Quality,Other
44424,5,Manufacturer,Other
44424,9,Quality,Other
44425,5,Manufacturer,Other
44425,9,Quality,Other
44426,5,Manufacturer,Other
44426,9,Quality,Other
44427,5,Manufacturer,Other
44427,9,Quality,Other
44428,5,Manufacturer,Other
44428,9,Quality,Other
44429,5,Manufacturer,Other
44429,9,Quality,Other
44430,5,Manufacturer,Other
44430,9,Quality,Other
44431,5,Manufacturer,Other
44431,9,Quality,Other
44432,5,Manufacturer,Other
44432,9,Quality,Other
44433,5,Manufacturer,Other
44433,9,Quality,Other
44434,5,Manufacturer,Other
44434,9,Quality,Other
44435,5,Manufacturer,Other
44435,9,Quality,Other
44438,5,Manufacturer,Other
44438,9,Quality,Other
44439,5,Manufacturer,Other
44439,9,Quality,Other
44440,5,Manufacturer,Other
44440,9,Quality,Other
44441,5,Manufacturer,Other
44441,9,Quality,Other
44443,5,Manufacturer,Other
44443,9,Quality,Other
44444,5,Manufacturer,Other
44444,9,Quality,Other
44445,5,Manufacturer,Other
44445,9,Quality,Other
44446,5,Manufacturer,Other
44446,9,Quality,Other
44447,5,Manufacturer,Other
44447,9,Quality,Other
44448,5,Manufacturer,Other
44448,9,Quality,Other
44449,5,Manufacturer,Other
44449,9,Quality,Other
44450,5,Manufacturer,Other
44450,9,Quality,Other
44451,5,Manufacturer,Other
44451,9,Quality,Other
44453,5,Manufacturer,Other
44453,9,Quality,Other
44454,5,Manufacturer,Other
44454,9,Quality,Other
44455,5,Manufacturer,Other
44455,9,Quality,Other
44457,5,Manufacturer,Other
44457,9,Quality,Other
44458,5,Manufacturer,Other
44458,9,Quality,Other
44459,5,Manufacturer,Other
44459,9,Quality,Other
44461,5,Manufacturer,Other
44461,9,Quality,Other
44462,5,Manufacturer,Other
44462,9,Quality,Other
44464,5,Manufacturer,Other
44464,9,Quality,Other
44469,5,Manufacturer,Other
44469,9,Quality,Other
44470,5,Manufacturer,Other
44470,9,Quality,Other
44472,5,Manufacturer,Other
44472,9,Quality,Other
44473,5,Manufacturer,Other
44473,9,Quality,Other
44476,5,Manufacturer,Other
44476,9,Quality,Other
44477,5,Manufacturer,Other
44477,9,Quality,Other
44478,5,Manufacturer,Other
44478,9,Quality,Other
44572,5,Manufacturer,Other
44572,9,Quality,Other
44576,5,Manufacturer,Other
44576,9,Quality,Other
44577,5,Manufacturer,Other
44577,9,Quality,Other
44578,5,Manufacturer,Other
44578,9,Quality,Other
44579,5,Manufacturer,Other
44579,9,Quality,Other
44580,5,Manufacturer,Other
44580,9,Quality,Other
44583,5,Manufacturer,Other
44583,9,Quality,Other
44584,5,Manufacturer,Other
44584,9,Quality,Other
44585,5,Manufacturer,Other
44585,9,Quality,Other
44586,5,Manufacturer,Other
44586,9,Quality,Other
44587,5,Manufacturer,Other
44587,9,Quality,Other
44590,5,Manufacturer,Other
44590,9,Quality,Other
44592,5,Manufacturer,Other
44592,9,Quality,Other
44593,5,Manufacturer,Other
44593,9,Quality,Other
44594,5,Manufacturer,Other
44594,9,Quality,Other
44596,5,Manufacturer,Other
44596,9,Quality,Other
44597,5,Manufacturer,Other
44597,9,Quality,Other
44599,5,Manufacturer,Other
44599,9,Quality,Other
44600,5,Manufacturer,Other
44600,9,Quality,Other
44602,5,Manufacturer,Other
44602,9,Quality,Other
44605,5,Manufacturer,Other
44605,9,Quality,Other
44606,5,Manufacturer,Other
44606,9,Quality,Other
44607,5,Manufacturer,Other
44607,9,Quality,Other
44608,5,Manufacturer,Other
44608,9,Quality,Other
44609,5,Manufacturer,Other
44609,9,Quality,Other
44610,5,Manufacturer,Other
44610,9,Quality,Other
44611,5,Manufacturer,Other
44611,9,Quality,Other
44612,5,Manufacturer,Other
44612,9,Quality,Other
44613,5,Manufacturer,Other
44613,9,Quality,Other
44614,5,Manufacturer,Other
44614,9,Quality,Other
44615,5,Manufacturer,Other
44615,9,Quality,Other
44616,5,Manufacturer,Other
44616,9,Quality,Other
44617,5,Manufacturer,Other
44617,9,Quality,Other
44618,5,Manufacturer,Other
44618,9,Quality,Other
44619,5,Manufacturer,Other
44619,9,Quality,Other
44620,5,Manufacturer,Other
44620,9,Quality,Other
44621,5,Manufacturer,Other
44621,9,Quality,Other
44622,5,Manufacturer,Other
44622,9,Quality,Other
44623,5,Manufacturer,Other
44623,9,Quality,Other
44625,5,Manufacturer,Other
44625,9,Quality,Other
44626,5,Manufacturer,Other
44626,9,Quality,Other
44629,5,Manufacturer,Other
44629,9,Quality,Other
44630,5,Manufacturer,Other
44630,9,Quality,Other
44631,5,Manufacturer,Other
44631,9,Quality,Other
44632,5,Manufacturer,Other
44632,9,Quality,Other
44633,5,Manufacturer,Other
44633,9,Quality,Other
44634,5,Manufacturer,Other
44634,9,Quality,Other
44635,5,Manufacturer,Other
44635,9,Quality,Other
44636,5,Manufacturer,Other
44636,9,Quality,Other
44637,5,Manufacturer,Other
44637,9,Quality,Other
44638,5,Manufacturer,Other
44638,9,Quality,Other
44640,5,Manufacturer,Other
44640,9,Quality,Other
44641,5,Manufacturer,Other
44641,9,Quality,Other
44643,5,Manufacturer,Other
44643,9,Quality,Other
44644,5,Manufacturer,Other
44644,9,Quality,Other
44647,5,Manufacturer,Other
44647,9,Quality,Other
44651,5,Manufacturer,Other
44651,9,Quality,Other
44654,5,Manufacturer,Other
44654,9,Quality,Other
44656,5,Manufacturer,Other
44656,9,Quality,Other
44658,5,Manufacturer,Other
44658,9,Quality,Other
44659,5,Manufacturer,Other
44659,9,Quality,Other
44660,5,Manufacturer,Other
44660,9,Quality,Other
44663,5,Manufacturer,Other
44663,9,Quality,Other
44664,5,Manufacturer,Other
44664,9,Quality,Other
44666,5,Manufacturer,Other
44666,9,Quality,Other
44667,5,Manufacturer,Other
44667,9,Quality,Other
44668,5,Manufacturer,Other
44668,9,Quality,Other
44670,5,Manufacturer,Other
44670,9,Quality,Other
44671,5,Manufacturer,Other
44671,9,Quality,Other
44672,5,Manufacturer,Other
44672,9,Quality,Other
44673,5,Manufacturer,Other
44673,9,Quality,Other
44674,5,Manufacturer,Other
44674,9,Quality,Other
44676,5,Manufacturer,Other
44676,9,Quality,Other
44677,5,Manufacturer,Other
44677,9,Quality,Other
44678,5,Manufacturer,Other
44678,9,Quality,Other
44680,5,Manufacturer,Other
44680,9,Quality,Other
44682,5,Manufacturer,Other
44682,9,Quality,Other
