salesorderid,dia,mes,ano
43884,1,7,2011
43885,1,7,2011
43886,1,7,2011
43887,1,7,2011
43888,1,7,2011
43889,1,7,2011
43890,1,7,2011
43891,1,7,2011
43892,1,7,2011
43893,1,7,2011
43894,1,7,2011
43895,1,7,2011
43896,1,7,2011
43897,1,7,2011
43898,1,7,2011
43899,1,7,2011
43900,1,7,2011
43901,1,7,2011
43902,1,7,2011
43903,1,7,2011
43904,1,7,2011
43905,1,7,2011
43906,1,7,2011
43907,1,7,2011
43908,1,7,2011
43909,1,7,2011
43910,1,7,2011
43911,1,7,2011
43912,1,7,2011
43913,1,7,2011
43914,1,7,2011
43915,1,7,2011
43916,1,7,2011
43917,1,7,2011
43918,1,7,2011
43919,1,7,2011
43920,1,7,2011
43921,1,7,2011
43922,1,7,2011
43923,2,7,2011
43924,2,7,2011
43925,2,7,2011
43926,3,7,2011
43927,3,7,2011
43928,3,7,2011
43929,3,7,2011
43930,4,7,2011
43931,4,7,2011
43932,4,7,2011
43933,4,7,2011
43934,4,7,2011
43935,5,7,2011
43936,5,7,2011
43937,5,7,2011
43938,5,7,2011
43939,5,7,2011
43940,5,7,2011
43941,6,7,2011
43942,6,7,2011
43943,6,7,2011
43944,6,7,2011
43945,6,7,2011
43946,6,7,2011
43947,6,7,2011
43948,6,7,2011
43949,7,7,2011
43950,7,7,2011
43951,7,7,2011
43952,7,7,2011
43953,8,7,2011
43954,8,7,2011
43955,8,7,2011
43956,8,7,2011
43957,9,7,2011
43958,9,7,2011
43959,9,7,2011
43960,9,7,2011
43961,10,7,2011
43962,10,7,2011
43963,10,7,2011
43964,10,7,2011
43965,10,7,2011
43966,10,7,2011
43967,11,7,2011
43968,11,7,2011
43969,11,7,2011
43970,11,7,2011
43971,11,7,2011
43972,12,7,2011
43973,12,7,2011
43974,12,7,2011
43975,12,7,2011
43976,12,7,2011
43977,12,7,2011
43978,13,7,2011
43979,13,7,2011
43980,13,7,2011
43981,13,7,2011
43982,13,7,2011
43983,14,7,2011
43984,14,7,2011
43985,14,7,2011
43986,14,7,2011
43987,15,7,2011
43988,15,7,2011
43989,15,7,2011
43990,15,7,2011
43991,15,7,2011
43992,15,7,2011
43993,17,7,2011
43994,18,7,2011
43995,18,7,2011
43996,18,7,2011
43997,18,7,2011
43998,18,7,2011
43999,18,7,2011
44000,19,7,2011
44001,19,7,2011
44002,19,7,2011
44003,19,7,2011
44004,19,7,2011
44005,19,7,2011
44006,19,7,2011
44007,19,7,2011
44008,20,7,2011
44009,20,7,2011
44010,20,7,2011
44011,20,7,2011
44012,20,7,2011
44013,20,7,2011
44014,21,7,2011
44015,21,7,2011
44016,21,7,2011
44017,21,7,2011
44018,21,7,2011
44019,21,7,2011
44020,21,7,2011
44021,21,7,2011
44022,22,7,2011
44023,22,7,2011
44024,22,7,2011
44025,22,7,2011
44026,22,7,2011
44027,23,7,2011
44028,23,7,2011
44029,23,7,2011
44030,24,7,2011
44031,24,7,2011
44032,24,7,2011
44033,24,7,2011
44034,24,7,2011
44035,24,7,2011
44036,24,7,2011
44037,24,7,2011
44038,24,7,2011
44039,25,7,2011
44040,25,7,2011
44041,25,7,2011
44042,26,7,2011
44043,26,7,2011
44044,26,7,2011
44045,26,7,2011
44046,26,7,2011
44047,26,7,2011
44048,26,7,2011
44049,27,7,2011
44050,27,7,2011
44051,28,7,2011
44052,28,7,2011
44053,29,7,2011
44054,29,7,2011
44055,29,7,2011
44056,29,7,2011
44057,29,7,2011
44058,29,7,2011
44059,29,7,2011
44060,29,7,2011
44061,30,7,2011
44062,30,7,2011
44063,30,7,2011
44064,30,7,2011
44065,30,7,2011
44066,30,7,2011
44067,30,7,2011
44068,31,7,2011
44069,31,7,2011
44070,31,7,2011
44071,31,7,2011
44072,31,7,2011
44073,31,7,2011
44074,1,8,2011
44075,1,8,2011
44076,1,8,2011
44077,1,8,2011
44078,1,8,2011
44079,1,8,2011
44080,1,8,2011
44081,1,8,2011
44082,1,8,2011
44083,1,8,2011
44084,1,8,2011
44085,1,8,2011
44086,1,8,2011
44087,1,8,2011
44088,1,8,2011
44089,1,8,2011
44090,1,8,2011
44091,1,8,2011
44092,1,8,2011
44093,1,8,2011
44094,1,8,2011
44095,1,8,2011
44096,1,8,2011
44097,1,8,2011
44098,1,8,2011
44099,1,8,2011
44100,1,8,2011
44101,1,8,2011
44102,1,8,2011
44103,1,8,2011
44104,1,8,2011
44105,1,8,2011
44106,1,8,2011
44107,1,8,2011
44108,1,8,2011
44109,1,8,2011
44110,1,8,2011
44111,1,8,2011
44112,1,8,2011
44113,1,8,2011
44114,1,8,2011
44115,1,8,2011
44116,1,8,2011
44117,1,8,2011
44118,1,8,2011
44119,1,8,2011
44120,1,8,2011
44121,1,8,2011
44122,1,8,2011
44123,1,8,2011
44124,1,8,2011
44125,1,8,2011
44126,1,8,2011
44127,1,8,2011
44128,1,8,2011
44129,1,8,2011
44130,1,8,2011
44131,1,8,2011
44132,1,8,2011
44133,1,8,2011
44134,1,8,2011
44135,1,8,2011
44136,1,8,2011
44137,1,8,2011
44138,2,8,2011
44139,2,8,2011
44140,2,8,2011
44141,2,8,2011
44142,2,8,2011
44143,2,8,2011
44144,2,8,2011
44145,2,8,2011
44146,2,8,2011
44147,2,8,2011
44148,3,8,2011
44149,3,8,2011
44150,3,8,2011
44151,3,8,2011
44152,4,8,2011
44153,4,8,2011
44154,4,8,2011
44155,4,8,2011
44156,4,8,2011
44157,4,8,2011
44158,5,8,2011
44159,5,8,2011
44160,5,8,2011
44161,6,8,2011
44162,6,8,2011
44163,6,8,2011
44164,6,8,2011
44165,6,8,2011
44166,6,8,2011
44167,6,8,2011
44168,7,8,2011
44169,7,8,2011
44170,7,8,2011
44171,7,8,2011
44172,7,8,2011
44173,8,8,2011
44174,8,8,2011
44175,8,8,2011
44176,9,8,2011
44177,9,8,2011
44178,9,8,2011
44179,9,8,2011
44180,9,8,2011
44181,9,8,2011
44182,9,8,2011
44183,10,8,2011
44184,10,8,2011
44185,10,8,2011
44186,12,8,2011
44187,12,8,2011
44188,13,8,2011
44189,13,8,2011
44190,13,8,2011
44191,13,8,2011
44192,14,8,2011
44193,14,8,2011
44194,14,8,2011
44195,14,8,2011
44196,14,8,2011
44197,15,8,2011
44198,15,8,2011
44199,15,8,2011
44200,15,8,2011
44201,16,8,2011
44202,16,8,2011
44203,16,8,2011
44204,16,8,2011
44205,16,8,2011
44206,17,8,2011
44207,17,8,2011
44208,17,8,2011
44209,17,8,2011
44210,18,8,2011
44211,18,8,2011
44212,18,8,2011
44213,18,8,2011
44214,18,8,2011
44215,19,8,2011
44216,19,8,2011
44217,19,8,2011
44218,19,8,2011
44219,19,8,2011
44220,19,8,2011
44221,19,8,2011
44222,19,8,2011
44223,20,8,2011
44224,20,8,2011
44225,21,8,2011
44226,21,8,2011
44227,21,8,2011
44228,21,8,2011
44229,21,8,2011
44230,21,8,2011
44231,21,8,2011
44232,21,8,2011
44233,22,8,2011
44234,22,8,2011
44235,22,8,2011
44236,22,8,2011
44237,22,8,2011
44238,22,8,2011
44239,23,8,2011
44240,23,8,2011
44241,23,8,2011
44242,23,8,2011
44243,23,8,2011
44244,23,8,2011
44245,23,8,2011
44246,24,8,2011
44247,24,8,2011
44248,24,8,2011
44249,25,8,2011
44250,25,8,2011
44251,25,8,2011
44252,26,8,2011
44253,26,8,2011
44254,26,8,2011
44255,26,8,2011
44256,26,8,2011
44257,27,8,2011
44258,27,8,2011
44259,27,8,2011
44260,27,8,2011
44261,27,8,2011
44262,27,8,2011
44263,27,8,2011
44264,27,8,2011
44265,27,8,2011
44266,27,8,2011
44267,28,8,2011
44268,28,8,2011
44269,29,8,2011
44270,30,8,2011
44271,30,8,2011
44272,30,8,2011
44273,30,8,2011
44274,30,8,2011
44275,30,8,2011
44276,30,8,2011
44277,30,8,2011
44278,30,8,2011
44279,30,8,2011
44280,31,8,2011
44281,31,8,2011
44282,31,8,2011
44283,31,8,2011
44284,31,8,2011
44285,31,8,2011
44286,31,8,2011
44287,31,8,2011
44288,31,8,2011
44289,31,8,2011
44290,31,8,2011
44291,31,8,2011
44292,31,8,2011
44293,31,8,2011
44294,31,8,2011
44295,31,8,2011
44296,31,8,2011
44297,31,8,2011
44298,31,8,2011
44299,31,8,2011
44300,31,8,2011
44301,31,8,2011
44302,31,8,2011
44303,31,8,2011
44304,31,8,2011
44305,31,8,2011
44306,31,8,2011
44307,31,8,2011
44308,31,8,2011
44309,31,8,2011
44310,31,8,2011
44311,31,8,2011
44312,31,8,2011
44313,31,8,2011
44314,31,8,2011
44315,31,8,2011
44316,31,8,2011
44317,31,8,2011
44318,31,8,2011
44319,31,8,2011
44320,31,8,2011
44321,31,8,2011
44322,31,8,2011
44323,31,8,2011
44324,1,9,2011
44325,1,9,2011
44326,1,9,2011
44327,2,9,2011
44328,2,9,2011
44329,2,9,2011
44330,2,9,2011
44331,3,9,2011
44332,3,9,2011
44333,4,9,2011
44334,4,9,2011
44335,4,9,2011
44336,4,9,2011
44337,4,9,2011
44338,4,9,2011
44339,4,9,2011
44340,4,9,2011
44341,5,9,2011
44342,5,9,2011
44343,5,9,2011
44344,6,9,2011
44345,6,9,2011
44346,6,9,2011
44347,6,9,2011
44348,7,9,2011
44349,7,9,2011
44350,7,9,2011
44351,7,9,2011
44352,7,9,2011
44353,7,9,2011
44354,7,9,2011
44355,7,9,2011
44356,7,9,2011
44357,7,9,2011
44358,7,9,2011
44359,8,9,2011
44360,8,9,2011
44361,8,9,2011
44362,8,9,2011
44363,8,9,2011
44364,8,9,2011
44365,8,9,2011
44366,8,9,2011
44367,8,9,2011
44368,9,9,2011
44369,9,9,2011
44370,9,9,2011
44371,9,9,2011
44372,9,9,2011
44373,10,9,2011
44374,10,9,2011
44375,10,9,2011
44376,10,9,2011
44377,10,9,2011
44378,10,9,2011
44379,10,9,2011
44380,10,9,2011
44381,11,9,2011
44382,11,9,2011
44383,11,9,2011
44384,11,9,2011
44385,11,9,2011
44386,11,9,2011
44387,11,9,2011
44388,11,9,2011
44389,11,9,2011
44390,11,9,2011
44391,11,9,2011
44392,11,9,2011
44393,12,9,2011
44394,12,9,2011
44395,12,9,2011
44396,12,9,2011
44397,12,9,2011
44398,12,9,2011
44399,13,9,2011
44400,13,9,2011
44401,13,9,2011
44402,14,9,2011
44403,14,9,2011
44404,15,9,2011
44405,15,9,2011
44406,15,9,2011
44407,15,9,2011
44408,15,9,2011
44409,15,9,2011
44410,16,9,2011
44411,16,9,2011
44412,16,9,2011
44413,17,9,2011
44414,17,9,2011
44415,17,9,2011
44416,17,9,2011
44417,17,9,2011
44418,17,9,2011
44419,17,9,2011
44420,17,9,2011
44421,18,9,2011
44422,18,9,2011
44423,18,9,2011
44424,18,9,2011
44425,18,9,2011
44426,19,9,2011
44427,19,9,2011
44428,19,9,2011
44429,19,9,2011
44430,19,9,2011
44431,19,9,2011
44432,20,9,2011
44433,20,9,2011
44434,20,9,2011
44435,21,9,2011
44436,21,9,2011
44437,21,9,2011
44438,21,9,2011
44439,22,9,2011
44440,22,9,2011
44441,22,9,2011
44442,22,9,2011
44443,22,9,2011
44444,24,9,2011
44445,25,9,2011
44446,25,9,2011
44447,26,9,2011
44448,26,9,2011
44449,26,9,2011
44450,26,9,2011
44451,26,9,2011
44452,26,9,2011
44453,26,9,2011
44454,26,9,2011
44455,26,9,2011
44456,26,9,2011
44457,27,9,2011
44458,27,9,2011
44459,27,9,2011
44460,27,9,2011
44461,27,9,2011
44462,28,9,2011
44463,28,9,2011
44464,28,9,2011
44465,28,9,2011
44466,28,9,2011
44467,28,9,2011
44468,28,9,2011
44469,28,9,2011
44470,28,9,2011
44471,28,9,2011
44472,29,9,2011
44473,29,9,2011
44474,29,9,2011
44475,29,9,2011
44476,29,9,2011
44477,29,9,2011
44478,29,9,2011
44479,30,9,2011
44480,30,9,2011
44481,1,10,2011
44482,1,10,2011
44483,1,10,2011
44484,1,10,2011
44485,1,10,2011
44486,1,10,2011
44487,1,10,2011
44488,1,10,2011
44489,1,10,2011
44490,1,10,2011
44491,1,10,2011
44492,1,10,2011
44493,1,10,2011
44494,1,10,2011
44495,1,10,2011
44496,1,10,2011
44497,1,10,2011
44498,1,10,2011
44499,1,10,2011
44500,1,10,2011
44501,1,10,2011
44502,1,10,2011
44503,1,10,2011
44504,1,10,2011
44505,1,10,2011
44506,1,10,2011
44507,1,10,2011
44508,1,10,2011
44509,1,10,2011
44510,1,10,2011
44511,1,10,2011
44512,1,10,2011
44513,1,10,2011
44514,1,10,2011
44515,1,10,2011
44516,1,10,2011
44517,1,10,2011
44518,1,10,2011
44519,1,10,2011
44520,1,10,2011
44521,1,10,2011
44522,1,10,2011
44523,1,10,2011
44524,1,10,2011
44525,1,10,2011
44526,1,10,2011
44527,1,10,2011
44528,1,10,2011
44529,1,10,2011
44530,1,10,2011
44531,1,10,2011
44532,1,10,2011
44533,1,10,2011
44534,1,10,2011
44535,1,10,2011
44536,1,10,2011
44537,1,10,2011
44538,1,10,2011
44539,1,10,2011
44540,1,10,2011
44541,1,10,2011
44542,1,10,2011
44543,1,10,2011
44544,1,10,2011
44545,1,10,2011
44546,1,10,2011
44547,1,10,2011
44548,1,10,2011
44549,1,10,2011
44550,1,10,2011
44551,1,10,2011
44552,1,10,2011
44553,1,10,2011
44554,1,10,2011
44555,1,10,2011
44556,1,10,2011
44557,1,10,2011
44558,1,10,2011
44559,1,10,2011
44560,1,10,2011
44561,1,10,2011
44562,1,10,2011
44563,1,10,2011
44564,1,10,2011
44565,1,10,2011
44566,1,10,2011
44567,1,10,2011
44568,1,10,2011
44569,1,10,2011
44570,1,10,2011
44571,1,10,2011
44572,1,10,2011
44573,1,10,2011
44574,1,10,2011
44575,1,10,2011
44576,1,10,2011
44577,2,10,2011
44578,2,10,2011
44579,2,10,2011
44580,3,10,2011
44581,3,10,2011
44582,3,10,2011
44583,3,10,2011
44584,4,10,2011
44585,4,10,2011
44586,4,10,2011
44587,4,10,2011
44588,4,10,2011
44589,4,10,2011
44590,5,10,2011
44591,5,10,2011
44592,5,10,2011
44593,5,10,2011
44594,5,10,2011
44595,5,10,2011
44596,5,10,2011
44597,6,10,2011
44598,6,10,2011
44599,6,10,2011
44600,6,10,2011
44601,6,10,2011
44602,7,10,2011
44603,7,10,2011
44604,7,10,2011
44605,7,10,2011
44606,7,10,2011
44607,7,10,2011
44608,7,10,2011
44609,7,10,2011
44610,7,10,2011
44611,8,10,2011
44612,8,10,2011
44613,8,10,2011
44614,8,10,2011
44615,8,10,2011
44616,8,10,2011
44617,8,10,2011
44618,8,10,2011
44619,9,10,2011
44620,9,10,2011
44621,9,10,2011
44622,9,10,2011
44623,10,10,2011
44624,10,10,2011
44625,10,10,2011
44626,10,10,2011
44627,10,10,2011
44628,10,10,2011
44629,10,10,2011
44630,11,10,2011
44631,11,10,2011
44632,11,10,2011
44633,11,10,2011
44634,11,10,2011
44635,11,10,2011
44636,12,10,2011
44637,12,10,2011
44638,12,10,2011
44639,12,10,2011
44640,12,10,2011
44641,12,10,2011
44642,12,10,2011
44643,13,10,2011
44644,13,10,2011
44645,13,10,2011
44646,13,10,2011
44647,13,10,2011
44648,13,10,2011
44649,13,10,2011
44650,13,10,2011
44651,14,10,2011
44652,14,10,2011
44653,14,10,2011
44654,14,10,2011
44655,14,10,2011
44656,14,10,2011
44657,14,10,2011
44658,14,10,2011
44659,14,10,2011
44660,15,10,2011
44661,15,10,2011
44662,15,10,2011
44663,15,10,2011
44664,15,10,2011
44665,15,10,2011
44666,16,10,2011
44667,16,10,2011
44668,16,10,2011
44669,16,10,2011
44670,16,10,2011
44671,16,10,2011
44672,16,10,2011
44673,17,10,2011
44674,17,10,2011
44675,17,10,2011
44676,17,10,2011
44677,18,10,2011
44678,18,10,2011
44679,18,10,2011
44680,19,10,2011
44681,19,10,2011
44682,19,10,2011
44683,19,10,2011
44684,19,10,2011
44685,19,10,2011
44686,20,10,2011
44687,20,10,2011
44688,20,10,2011
44689,20,10,2011
44690,20,10,2011
44691,21,10,2011
44692,21,10,2011
44693,21,10,2011
44694,21,10,2011
44695,21,10,2011
44696,21,10,2011
44697,22,10,2011
44698,22,10,2011
44699,23,10,2011
44700,23,10,2011
44701,23,10,2011
44702,23,10,2011
44703,24,10,2011
44704,24,10,2011
44705,24,10,2011
44706,24,10,2011
44707,24,10,2011
44708,24,10,2011
44709,24,10,2011
44710,25,10,2011
44711,25,10,2011
44712,25,10,2011
44713,26,10,2011
44714,26,10,2011
44715,26,10,2011
44716,26,10,2011
44717,26,10,2011
44718,26,10,2011
44719,27,10,2011
44720,27,10,2011
44721,27,10,2011
44722,28,10,2011
44723,28,10,2011
44724,28,10,2011
44725,28,10,2011
44726,28,10,2011
44727,28,10,2011
44728,28,10,2011
44729,29,10,2011
44730,29,10,2011
44731,29,10,2011
44732,29,10,2011
44733,29,10,2011
44734,30,10,2011
44735,30,10,2011
44736,30,10,2011
44737,30,10,2011
44738,30,10,2011
44739,30,10,2011
44740,31,10,2011
44741,31,10,2011
44742,31,10,2011
44743,31,10,2011
44744,31,10,2011
44745,31,10,2011
44746,31,10,2011
44747,31,10,2011
44748,31,10,2011
44749,31,10,2011
44750,31,10,2011
44751,31,10,2011
44752,31,10,2011
44753,31,10,2011
44754,31,10,2011
44755,31,10,2011
44756,31,10,2011
44757,31,10,2011
44758,31,10,2011
44759,31,10,2011
44760,31,10,2011
44761,31,10,2011
44762,31,10,2011
44763,31,10,2011
44764,31,10,2011
44765,31,10,2011
44766,31,10,2011
44767,31,10,2011
44768,31,10,2011
44769,31,10,2011
44770,31,10,2011
44771,31,10,2011
44772,31,10,2011
44773,31,10,2011
44774,31,10,2011
44775,31,10,2011
44776,31,10,2011
44777,31,10,2011
44778,31,10,2011
44779,31,10,2011
44780,31,10,2011
44781,31,10,2011
44782,31,10,2011
44783,31,10,2011
44784,31,10,2011
44785,31,10,2011
44786,31,10,2011
44787,31,10,2011
44788,31,10,2011
44789,31,10,2011
44790,31,10,2011
44791,31,10,2011
44792,31,10,2011
44793,31,10,2011
44794,31,10,2011
44795,31,10,2011
44796,31,10,2011
44797,31,10,2011
44798,31,10,2011
44799,31,10,2011
44800,31,10,2011
44801,31,10,2011
44802,31,10,2011
44803,31,10,2011
44804,31,10,2011
44805,31,10,2011
44806,31,10,2011
44807,31,10,2011
44808,1,11,2011
44809,1,11,2011
44810,1,11,2011
44811,1,11,2011
44812,1,11,2011
44813,1,11,2011
44814,1,11,2011
44815,1,11,2011
44816,2,11,2011
44817,2,11,2011
44818,2,11,2011
44819,2,11,2011
44820,2,11,2011
44821,2,11,2011
44822,2,11,2011
44823,2,11,2011
44824,2,11,2011
44825,2,11,2011
44826,3,11,2011
44827,3,11,2011
44828,3,11,2011
44829,3,11,2011
44830,3,11,2011
44831,4,11,2011
44832,4,11,2011
44833,4,11,2011
44834,4,11,2011
44835,4,11,2011
44836,4,11,2011
44837,5,11,2011
44838,5,11,2011
44839,5,11,2011
44840,5,11,2011
44841,5,11,2011
44842,6,11,2011
44843,6,11,2011
44844,6,11,2011
44845,6,11,2011
44846,6,11,2011
44847,6,11,2011
44848,7,11,2011
44849,7,11,2011
44850,7,11,2011
44851,7,11,2011
44852,7,11,2011
44853,7,11,2011
44854,7,11,2011
44855,7,11,2011
44856,7,11,2011
44857,7,11,2011
44858,7,11,2011
44859,7,11,2011
44860,7,11,2011
44861,7,11,2011
44862,7,11,2011
44863,7,11,2011
44864,7,11,2011
44865,7,11,2011
44866,7,11,2011
44867,8,11,2011
44868,8,11,2011
44869,8,11,2011
44870,8,11,2011
44871,8,11,2011
44872,9,11,2011
44873,9,11,2011
44874,10,11,2011
44875,10,11,2011
44876,10,11,2011
44877,10,11,2011
44878,10,11,2011
44879,10,11,2011
44880,10,11,2011
44881,10,11,2011
44882,10,11,2011
44883,10,11,2011
44884,10,11,2011
44885,11,11,2011
44886,11,11,2011
44887,11,11,2011
44888,11,11,2011
44889,12,11,2011
44890,12,11,2011
44891,12,11,2011
44892,12,11,2011
44893,12,11,2011
44894,12,11,2011
44895,12,11,2011
44896,12,11,2011
44897,12,11,2011
44898,12,11,2011
44899,12,11,2011
44900,13,11,2011
44901,13,11,2011
44902,13,11,2011
44903,13,11,2011
44904,13,11,2011
44905,14,11,2011
44906,14,11,2011
44907,14,11,2011
44908,14,11,2011
44909,14,11,2011
44910,14,11,2011
44911,14,11,2011
44912,14,11,2011
44913,14,11,2011
44914,14,11,2011
44915,14,11,2011
44916,14,11,2011
44917,15,11,2011
44918,15,11,2011
44919,15,11,2011
44920,15,11,2011
44921,15,11,2011
44922,15,11,2011
44923,15,11,2011
44924,16,11,2011
44925,16,11,2011
44926,16,11,2011
44927,16,11,2011
44928,17,11,2011
44929,17,11,2011
44930,17,11,2011
44931,17,11,2011
44932,17,11,2011
44933,17,11,2011
44934,18,11,2011
44935,18,11,2011
44936,18,11,2011
44937,18,11,2011
44938,18,11,2011
44939,18,11,2011
44940,18,11,2011
44941,18,11,2011
44942,18,11,2011
44943,18,11,2011
44944,18,11,2011
44945,18,11,2011
44946,18,11,2011
44947,18,11,2011
44948,19,11,2011
44949,19,11,2011
44950,19,11,2011
44951,19,11,2011
44952,19,11,2011
44953,19,11,2011
44954,19,11,2011
44955,19,11,2011
44956,19,11,2011
44957,20,11,2011
44958,20,11,2011
44959,20,11,2011
44960,20,11,2011
44961,20,11,2011
44962,20,11,2011
44963,20,11,2011
44964,20,11,2011
44965,20,11,2011
44966,20,11,2011
44967,21,11,2011
44968,21,11,2011
44969,21,11,2011
44970,21,11,2011
44971,21,11,2011
44972,21,11,2011
44973,21,11,2011
44974,22,11,2011
44975,22,11,2011
44976,22,11,2011
44977,22,11,2011
44978,22,11,2011
44979,22,11,2011
44980,22,11,2011
44981,22,11,2011
44982,23,11,2011
44983,23,11,2011
44984,23,11,2011
44985,23,11,2011
44986,23,11,2011
44987,24,11,2011
44988,24,11,2011
44989,24,11,2011
44990,24,11,2011
44991,24,11,2011
44992,24,11,2011
44993,24,11,2011
44994,25,11,2011
44995,25,11,2011
44996,25,11,2011
44997,25,11,2011
44998,25,11,2011
44999,25,11,2011
45000,25,11,2011
45001,25,11,2011
45002,26,11,2011
45003,26,11,2011
45004,26,11,2011
45005,26,11,2011
45006,27,11,2011
45007,27,11,2011
45008,27,11,2011
45009,27,11,2011
45010,27,11,2011
45011,27,11,2011
45012,27,11,2011
45013,27,11,2011
45014,27,11,2011
45015,27,11,2011
45016,28,11,2011
45017,28,11,2011
45018,28,11,2011
45019,28,11,2011
45020,28,11,2011
45021,28,11,2011
45022,28,11,2011
45023,28,11,2011
45024,29,11,2011
45025,29,11,2011
45026,29,11,2011
45027,29,11,2011
45028,29,11,2011
45029,29,11,2011
45030,29,11,2011
45031,30,11,2011
45032,30,11,2011
45033,30,11,2011
45034,30,11,2011
45035,30,11,2011
45036,30,11,2011
45037,30,11,2011
45038,1,12,2011
45039,1,12,2011
45040,1,12,2011
45041,1,12,2011
45042,1,12,2011
45043,1,12,2011
45044,1,12,2011
45045,1,12,2011
45046,1,12,2011
45047,1,12,2011
45048,1,12,2011
45049,1,12,2011
45050,1,12,2011
45051,1,12,2011
45052,1,12,2011
45053,1,12,2011
45054,1,12,2011
45055,1,12,2011
