productmodelid,name,catalogdescription,instructions,rowguid,modifieddate
11,Long-Sleeve Logo Jersey,None,None,20efe3f1-a2f8-4dde-b74b-18265f61f863,2011-05-01 00:00:00
12,Men's Bib-Shorts,None,None,219e2f87-26a9-483b-b968-04578e943096,2012-04-30 00:00:00
13,Men's Sports Shorts,None,None,45fe0d77-6645-473c-a116-1232baea8d43,2012-04-30 00:00:00
14,ML Mountain Frame,None,None,0d48c51d-7603-4010-9265-0491805bb010,2012-04-30 00:00:00
15,ML Mountain Frame-W,None,None,aa77697c-6d1c-48f1-845c-3cb089498715,2012-04-30 00:00:00
16,ML Road Frame,None,None,3494e8ff-7daf-4860-abf6-97842048e272,2011-05-01 00:00:00
17,ML Road Frame-W,None,None,ca18ecfd-2023-4fa7-a556-0321153bca34,2012-04-30 00:00:00
18,Mountain Bike Socks,None,None,36b1a76a-dff3-4a55-86f9-65eb1cb18d7b,2011-05-01 00:00:00
19,Mountain-100,<?xml-stylesheet href= 'ProductDescription.xsl ' type= 'text/xsl '?><p1:ProductDescription xmlns:p1= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription ' xmlns:wm= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain ' xmlns:wf= 'http://www.adventure-works.com/schemas/OtherFeatures ' xmlns:html= 'http://www.w3.org/1999/xhtml ' ProductModelID= '19 ' ProductModelName= 'Mountain 100 '><p1:Summary><html:p>Our top-of-the-line competition mountain bike. \n 				Performance-enhancing options include the innovative HL Frame \n				super-smooth front suspension and traction for all terrain.\n                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>These are the product highlights. \n                 <wm:Warranty><wm:WarrantyPeriod>3 years</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>10 years</wm:NoOfYears><wm:Description>maintenance contract available through your dealer or any AdventureWorks retail store.</wm:Description></wm:Maintenance><wf:wheel>High performance wheels.</wf:wheel><wf:saddle><html:i>Anatomic design</html:i> and made from durable leather for a full-day of riding in comfort.</wf:saddle><wf:pedal><html:b>Top-of-the-line</html:b> clipless pedals with adjustable tension.</wf:pedal><wf:BikeFrame>Each frame is hand-crafted in our Bothell facility to the optimum diameter \n				and wall-thickness required of a premium mountain frame. \n				The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.</wf:BikeFrame><wf:crankset> Triple crankset; alumunim crank arm; flawless shifting. </wf:crankset></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>118</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.\n<Material>Almuminum Alloy</Material><Color>Available in most colors</Color><ProductLine>Mountain bike</ProductLine><Style>Unisex</Style><RiderExperience>Advanced to Professional riders</RiderExperience></p1:Specifications></p1:ProductDescription>,None,fca0665b-b956-489a-a5ec-6f0b4aa14d02,2011-05-01 00:00:00
20,Mountain-200,None,None,3b78edff-2aa9-4ac1-8c3d-94090b5f53a9,2012-04-30 00:00:00
21,Mountain-300,None,None,ecddd0d7-2db2-464d-b2da-89bffc6276aa,2012-04-30 00:00:00
22,Mountain-400-W,None,None,6d2fcce4-ffce-4662-a3f8-5d18f0eedcd8,2013-04-30 00:00:00
23,Mountain-500,<?xml-stylesheet href= 'ProductDescription.xsl ' type= 'text/xsl '?><p1:ProductDescription xmlns:p1= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription ' xmlns:wm= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain ' xmlns:wf= 'http://www.adventure-works.com/schemas/OtherFeatures ' xmlns:html= 'http://www.w3.org/1999/xhtml ' ProductModelID= '23 ' ProductModelName= 'Mountain-500 '><p1:Summary><html:p>Suitable for any type of riding on or off-road. \n			Fits any budget. Smooth-shifting with a comfortable ride.\n                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>Product highlights include: \n                 <wm:Warranty><wm:WarrantyPeriod>1 year</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>3 years</wm:NoOfYears><wm:Description>maintenance contact available through dealer</wm:Description></wm:Maintenance><wf:wheel>Stable durable wheels suitable for novice riders.</wf:wheel><wf:saddle>Made from synthetic leather and features gel padding for increased comfort.</wf:saddle><wf:pedal><html:b>Expanded platform</html:b> so you can ride in any shoes; great for all-around riding.</wf:pedal><wf:crankset> Super rigid spindle. </wf:crankset><wf:BikeFrame>Our best value frame utilizing the same ground-breaking technology as the ML aluminum frame.</wf:BikeFrame></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>1</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.\n                   <Height>Varies</Height> Centimeters.\n<Material>Aluminum Alloy</Material><Color>Available in all colors.</Color><ProductLine>Mountain bike</ProductLine><Style>Unisex</Style><RiderExperience>Novice to Intermediate riders</RiderExperience></p1:Specifications></p1:ProductDescription>,None,866dbad3-5999-4329-beac-d826d959d9a1,2012-10-19 09:56:38.273000
24,Racing Socks,None,None,bd8ba6f8-7e16-4fa3-b3b3-2036dd4a2ae0,2013-04-30 00:00:00
25,Road-150,<?xml-stylesheet href= 'ProductDescription.xsl ' type= 'text/xsl '?><p1:ProductDescription xmlns:p1= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription ' xmlns:wm= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain ' xmlns:wf= 'http://www.adventure-works.com/schemas/OtherFeatures ' xmlns:html= 'http://www.w3.org/1999/xhtml ' ProductModelID= '25 ' ProductModelName= 'Road-150 '><p1:Summary><html:p>This bike is ridden by race winners. Developed with the \n			Adventure Works Cycles professional race team it has a extremely light \n			heat-treated aluminum frame and steering that allows precision control.\n                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>These are the product highlights. \n                 <wm:Warranty><wm:WarrantyPeriod>4 years</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>7 years</wm:NoOfYears><wm:Description>maintenance contact available through dealer or any Adventure Works Cycles retail store.</wm:Description></wm:Maintenance><wf:handlebar>Designed for racers; high-end anatomically shaped bar from aluminum alloy.</wf:handlebar><wf:wheel>Strong wheels with double-walled rims.</wf:wheel><wf:saddle><html:i>Lightweight </html:i> kevlar racing saddle.</wf:saddle><wf:pedal><html:b>Top-of-the-line</html:b> clipless pedals with adjustable tension.</wf:pedal><wf:BikeFrame><html:i>Our lightest and best quality </html:i> aluminum frame made from the newest alloy;\n			it is welded and heat-treated for strength. \n			Our innovative design results in maximum comfort and performance.</wf:BikeFrame></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>126</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.\n<Material>Aluminum</Material><Color>Available in all colors.</Color><ProductLine>Road bike</ProductLine><Style>Unisex</Style><RiderExperience>Intermediate to Professional riders</RiderExperience></p1:Specifications></p1:ProductDescription>,None,94ffb702-0cbc-4e3f-b840-c51f0d11c8f6,2011-05-01 00:00:00
26,Road-250,None,None,3770c5e3-8dc9-43c7-b735-7aff21645d96,2012-04-30 00:00:00
27,Road-350-W,None,None,dfe49035-7720-4ff4-b28b-16250ee46259,2013-04-30 00:00:00
28,Road-450,<?xml-stylesheet href= 'ProductDescription.xsl ' type= 'text/xsl '?><p1:ProductDescription xmlns:p1= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription ' xmlns:wm= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain ' xmlns:wf= 'http://www.adventure-works.com/schemas/OtherFeatures ' xmlns:html= 'http://www.w3.org/1999/xhtml ' ProductModelID= '28 ' ProductModelName= 'Road-450 '><p1:Summary><html:p>A true multi-sport bike that offers streamlined riding and a revolutionary design. \n			       Aerodynamic design lets you ride with the pros and the gearing will conquer hilly roads.\n                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>These are the product highlights. \n                 <wm:Warranty><wm:WarrantyPeriod>1 year</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>5 years</wm:NoOfYears><wm:Description>maintenance contact available through dealer</wm:Description></wm:Maintenance><wf:handlebar><html:i>Incredibly strong</html:i> professional grade handlebar.</wf:handlebar><wf:wheel>Aluminum alloy rim with stainless steel spokes; built for speed on our high quality rubber tires.</wf:wheel><wf:saddle><html:i>Comfortable</html:i> saddle with bump absorping rubber bumpers.</wf:saddle><wf:pedal><html:b>Top-of-the-line</html:b> clipless pedals with adjustable tension.</wf:pedal><wf:BikeFrame><html:i>aluminum alloy </html:i> frame\n                     and features a lightweight down-tube milled to the perfect diameter for optimal strength.</wf:BikeFrame></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>111</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.\n                   <Height>Varies</Height> Centimeters.\n<Material>Aluminum Alloy</Material><Weight>Varies with size </Weight><Color>Available in all colors.</Color><ProductLine>Road bike</ProductLine><Style>Unisex</Style><RiderExperience>Novice to Advanced riders</RiderExperience></p1:Specifications></p1:ProductDescription>,None,8456bb94-b4dd-4a47-a76b-d0e54ab4285d,2011-05-01 00:00:00
29,Road-550-W,None,None,f85f84f2-9ce0-4ecc-9c29-e78021ffc877,2012-04-30 00:00:00
30,Road-650,None,None,42e1c597-6dd9-4071-b1a5-1dc5cdcbdbca,2011-05-01 00:00:00
31,Road-750,None,None,2bf795f4-2666-4691-af14-d490c7334a8a,2012-10-19 09:56:38.273000
32,Short-Sleeve Classic Jersey,None,None,6beccf2d-eacd-496b-995b-d692567565cd,2013-04-30 00:00:00
33,Sport-100,None,None,47f7c450-d16a-4cea-be6e-2d6c8c8f81ee,2011-05-01 00:00:00
34,Touring-1000,<?xml-stylesheet href= 'ProductDescription.xsl ' type= 'text/xsl '?><p1:ProductDescription xmlns:p1= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription ' xmlns:wm= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain ' xmlns:wf= 'http://www.adventure-works.com/schemas/OtherFeatures ' xmlns:html= 'http://www.w3.org/1999/xhtml ' ProductModelID= '34 ' ProductModelName= 'Touring-1000 '><p1:Summary><html:p>Travel in style and comfort. Designed for maximum comfort and safety. \n			Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.\n                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>These are the product highlights. \n                 <wm:Warranty><wm:WarrantyPeriod>1 year</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>5 years</wm:NoOfYears><wm:Description>maintenance contact available through dealer</wm:Description></wm:Maintenance><wf:handlebar>A light yet stiff aluminum bar for long distance riding.</wf:handlebar><wf:wheel>Excellent aerodynamic rims guarantee a smooth ride.</wf:wheel><wf:saddle><html:i>Cut-out shell </html:i> for a more comfortable ride.</wf:saddle><wf:pedal>A stable pedal for all-day riding.</wf:pedal><wf:BikeFrame><html:i>aluminum alloy </html:i> frame\n                     and features a lightweight down-tube milled to the perfect diameter for optimal strength.</wf:BikeFrame></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>87</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.\n                   \n<Material>Aluminum alloy </Material><Color>Available in most colors.</Color><ProductLine>Touring bike</ProductLine><Style>Unisex</Style><RiderExperience>Novice to Advanced riders</RiderExperience></p1:Specifications></p1:ProductDescription>,None,52e7f2c1-dbff-4518-927d-c7d46f9ed32e,2012-10-19 09:56:38.273000
35,Touring-2000,<?xml-stylesheet href= 'ProductDescription.xsl ' type= 'text/xsl '?><p1:ProductDescription xmlns:p1= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription ' xmlns:wm= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain ' xmlns:wf= 'http://www.adventure-works.com/schemas/OtherFeatures ' xmlns:html= 'http://www.w3.org/1999/xhtml ' ProductModelID= '35 ' ProductModelName= 'Touring-2000 '><p1:Summary><html:p>The plush custom saddle keeps you riding all day and there's plenty of space\n			 to add panniers and bike bags to the newly-redesigned carrier. \n				This bike has great stability when fully-loaded.\n                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>These are the product highlights. \n                 <wm:Warranty><wm:WarrantyPeriod>1 year</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>5 years</wm:NoOfYears><wm:Description>maintenance contact available through dealer</wm:Description></wm:Maintenance><wf:handlebar>A light yet stiff aluminum bar for long distance riding.</wf:handlebar><wf:saddle><html:i>New design </html:i> relieves pressure for long rides.</wf:saddle><wf:pedal><html:b>Top-of-the-line</html:b> clipless pedals with adjustable tension.</wf:pedal><wf:crankset> High-strength crank arm. </wf:crankset><wf:BikeFrame>The aluminum frame is custom-shaped for both good looks and strength; \n				it will withstand the most rigorous challenges of daily riding.</wf:BikeFrame></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>87</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.\n<Material>Aluminum</Material><Color>Available in all colors except metallic.</Color><ProductLine>Touring bike</ProductLine><Style>Men's</Style><FrameMaterial>Aluminium alloy</FrameMaterial><RiderExperience>Intermediate to Advanced riders</RiderExperience></p1:Specifications></p1:ProductDescription>,None,aa10d9e6-e33f-4da8-ace1-992fcd6bb171,2012-10-19 09:56:38.273000
36,Touring-3000,None,None,f5a6ec78-4451-45db-955f-db197de8b059,2012-10-19 09:56:38.273000
37,Women's Mountain Shorts,None,None,a08dd61a-6155-4051-9a11-223232ea51cd,2013-04-30 00:00:00
38,Women's Tights,None,None,a96ff80d-d52a-432f-9701-731bef16efcc,2012-04-30 00:00:00
39,Mountain-400,None,None,37d261a7-00cf-4880-ac1a-533b6b4365b0,2011-05-01 00:00:00
40,Road-550,None,None,30450264-4ab8-45e0-8bb5-4d407ea2950a,2012-04-30 00:00:00
41,Road-350,None,None,d71bd21c-239e-4c2b-98a3-101962d6b2d3,2012-10-19 09:56:38.273000
42,LL Mountain Front Wheel,None,None,aa977b32-acd8-4c53-a560-88a02ac1954d,2012-10-19 09:56:38.273000
43,Touring Rear Wheel,None,<root xmlns= 'http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions '>\n                Adventure Works CyclesWA-150C Instructions for Assembling Touring Front Wheel Summary: This document contains manufacturing instructions for assembling the Touring Front Wheel Product Model 43. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours= '3 ' LotSize= '1 ' LocationID= '50 '>\n                    Work Center - 50 Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .0 Labor Hours = 3 Machine Hours = 0 Lot Sizing = 1)<step>\n                        Inspect the <material>rim</material> for dents cracks or other damage.\n                    </step><step>\n                        Slide each <material>spoke</material> through the <material>hub flange</material> working in a clockwise direction.\n                    </step><step>\n                        For each spoke screw on the <material>spoke nipple (NI-9522)</material>. Do not over tighten.\n                    </step><step>\n                        Place the <material>wheel</material> in the truing stand.\n                    </step><step>Pluck each spoke. The sound from each spoke should be consistent. Adjust as needed. </step><step>\n                        Inflate the <material>tire tube</material>to one-quarter pressure.\n                    </step><step>\n                        Insert the <material>valve stem</material> through <material>Rim RM-M823</material>.\n                    </step><step>Tuck the tube into the tire ensuring there are no wrinkles or kinks.</step><step>Inflate the tube to half pressure. </step><step>Spin the wheel and ensure the bead line is just above the rim. </step><step>Inflate the tube to 35 PSI.</step><step>\nAttach reflector as shown in illustration <diag>7</diag></step></Location></root>,e878fcaa-61cc-4014-988a-51f52643f7aa,2015-04-15 16:34:28.997000
