customerid,personid,storeid,territoryid,rowguid,modifieddate
44,None,1000,5,fb4b073c-6b38-4233-83fe-4236558f4754,2014-09-12 11:15:07.263000
45,None,1350,5,b50043ed-c66b-4130-bebc-07d413043991,2014-09-12 11:15:07.263000
46,None,1288,6,21849ecf-88c2-4574-89d5-397b84df1d0f,2014-09-12 11:15:07.263000
47,None,998,6,0d9abe85-d952-432d-831a-8beb7f4e49d0,2014-09-12 11:15:07.263000
48,None,1352,6,e656589a-198f-454f-b02f-9ce324457bdf,2014-09-12 11:15:07.263000
49,None,1286,7,f3dfa401-85c6-4118-b5c5-6554310a1192,2014-09-12 11:15:07.263000
50,None,996,8,0a3e846a-2dcc-4b6e-8ab3-968b5ab859f4,2014-09-12 11:15:07.263000
51,None,1354,9,e4c69e3e-be4b-4dcd-b2f0-1237b391bc44,2014-09-12 11:15:07.263000
52,None,1284,10,8fb34b30-b19d-4aec-b02e-f1be942800e5,2014-09-12 11:15:07.263000
53,None,994,2,81d3b740-dcf1-4f23-a5e3-d81353280016,2014-09-12 11:15:07.263000
54,None,1356,2,123b3ebf-4eb0-442a-8482-a4e001cccf89,2014-09-12 11:15:07.263000
55,None,1282,1,f5d3997b-ad06-46a0-94af-a4460f4be471,2014-09-12 11:15:07.263000
56,None,992,1,570b1682-9bb1-4359-984d-8f728e3d6973,2014-09-12 11:15:07.263000
57,None,1358,3,7ff17923-e670-4f42-87a3-a6d1af18ea05,2014-09-12 11:15:07.263000
58,None,1280,3,e324fee8-1ee7-4b96-854e-cfda7b0cbbc8,2014-09-12 11:15:07.263000
59,None,990,4,60708606-604c-44be-90e1-3a0925b8060e,2014-09-12 11:15:07.263000
60,None,1360,4,a029f31e-433b-4fa4-b442-b291d16a1b9f,2014-09-12 11:15:07.263000
61,None,1278,4,ccc53b43-66a6-47f6-a38e-5dd7cfafeaa6,2014-09-12 11:15:07.263000
62,None,988,5,359bb644-407d-4c24-ab98-e637aee7c81e,2014-09-12 11:15:07.263000
63,None,1362,5,76e2e4c3-b1ba-4cb2-b410-a4d48ba886e5,2014-09-12 11:15:07.263000
64,None,1276,6,e6b6f92d-4ac6-4bc7-bf6b-2f3c67498de7,2014-09-12 11:15:07.263000
65,None,986,6,7e082443-8af6-4bb6-a0f5-1586271d1f2c,2014-09-12 11:15:07.263000
66,None,782,6,e91e0048-9a25-489b-96c1-d726da68fb7c,2014-09-12 11:15:07.263000
67,None,1274,7,51ce3843-fc98-453e-8cf1-7ea145235d0f,2014-09-12 11:15:07.263000
68,None,532,8,2138def5-80eb-4d95-b340-706bcd60adda,2014-09-12 11:15:07.263000
69,None,784,9,64841b37-3a25-416a-a129-e9aaa2eff4cd,2014-09-12 11:15:07.263000
70,None,1272,10,89e10b04-064e-4313-8203-91fa98a01b11,2014-09-12 11:15:07.263000
71,None,530,2,91cc8ac7-27e5-437c-b940-db47692754d3,2014-09-12 11:15:07.263000
72,None,786,2,0da3081d-fdc7-4005-b77d-e5afd8c15de6,2014-09-12 11:15:07.263000
73,None,1270,1,9d5c135e-bd60-46e0-b371-843391637827,2014-09-12 11:15:07.263000
74,None,528,1,73485e57-076d-4b10-bb48-6043dd873582,2014-09-12 11:15:07.263000
75,None,788,4,55cfed0e-1a7b-409c-9aff-297065965870,2014-09-12 11:15:07.263000
76,None,1268,3,5227d299-b05e-4d6c-a1c9-da63154869ba,2014-09-12 11:15:07.263000
77,None,556,4,b3f9113c-8fce-47e1-9f04-38a0c68917c6,2014-09-12 11:15:07.263000
78,None,790,4,8c8083ab-7943-44fa-b1ad-8e3abd5d66ee,2014-09-12 11:15:07.263000
79,None,1266,3,010d8aa6-ceba-4097-9e67-3b2a9674fd5f,2014-09-12 11:15:07.263000
80,None,554,5,98dcb8c4-e7c0-43e7-b429-2cb4d8a8d90d,2014-09-12 11:15:07.263000
81,None,792,5,e25e3769-cadc-4da6-9120-09c3b2205475,2014-09-12 11:15:07.263000
82,None,1264,6,92618ece-2254-4852-b3b3-46ed2e0e3e1a,2014-09-12 11:15:07.263000
83,None,552,6,8e01f170-64d3-4b74-82e1-d1691ae9f37c,2014-09-12 11:15:07.263000
84,None,794,6,45a614ce-3137-4a12-8296-24048c18f320,2014-09-12 11:15:07.263000
85,None,1262,7,b44000f5-901b-4134-979d-f9a9bea5a598,2014-09-12 11:15:07.263000
86,None,636,8,2a8b2702-4644-4002-90e4-99a8adba5261,2014-09-12 11:15:07.263000
87,None,796,9,07fb8b21-fb06-49f8-8cd5-9956273cd78a,2014-09-12 11:15:07.263000
88,None,1260,10,11feda31-15b6-4f08-9357-355371d4d928,2014-09-12 11:15:07.263000
89,None,634,2,a34fe994-1098-439f-a042-ee670bf2fa33,2014-09-12 11:15:07.263000
90,None,798,5,6fc7d1f9-11e6-4574-90b3-7aa6ffc1ebd9,2014-09-12 11:15:07.263000
91,None,1258,1,9f314fc3-9644-4412-a90a-5483f75f665b,2014-09-12 11:15:07.263000
92,None,632,1,672412c3-5d5d-488b-b176-e3dafad05d70,2014-09-12 11:15:07.263000
93,None,800,4,249b42c2-8eae-49f1-a560-a90837748654,2014-09-12 11:15:07.263000
94,None,1256,4,65be08da-dfb7-4bc8-aa5c-fad98b82524e,2014-09-12 11:15:07.263000
95,None,630,4,ea0bc621-9466-4f04-bbff-3b361c6f9057,2014-09-12 11:15:07.263000
96,None,1308,4,bac5b4da-00b0-4bf1-816a-1e39f676bf9b,2014-09-12 11:15:07.263000
97,None,1254,4,355eb5d8-6b4c-4fff-b12b-40f89ca4e31d,2014-09-12 11:15:07.263000
98,None,734,5,7d37485d-a4cf-4c08-8d3c-364deec7c841,2014-09-12 11:15:07.263000
99,None,1310,5,8583a63e-3459-44c7-8736-a92e0a7135f2,2014-09-12 11:15:07.263000
100,None,1252,6,e789f6dd-3159-4ddc-81a8-8571c571656e,2014-09-12 11:15:07.263000
101,None,732,6,67ad4f37-2467-4438-a749-d947beec3a92,2014-09-12 11:15:07.263000
102,None,1312,6,959cf74b-1004-43f5-9ab7-4cdd482c847d,2014-09-12 11:15:07.263000
103,None,1894,7,22390e6f-ac5f-4ded-8ee5-91c1302c7fa2,2014-09-12 11:15:07.263000
104,None,730,8,ffbe0510-53be-46d9-9406-63afee95de3a,2014-09-12 11:15:07.263000
105,None,1314,9,f9387ea3-ef35-49b2-b535-e02368d2c0fd,2014-09-12 11:15:07.263000
106,None,1892,10,aafbf7d5-8759-4962-9deb-77c6e22875f4,2014-09-12 11:15:07.263000
107,None,728,2,9522ca57-0246-496a-ae49-d9821cd67817,2014-09-12 11:15:07.263000
108,None,1316,2,d1e756e0-a0d1-43d6-a7cb-ac5c5ef404e7,2014-09-12 11:15:07.263000
109,None,1890,1,7585790b-6034-4520-a383-9fa1e8b3e76e,2014-09-12 11:15:07.263000
110,None,1888,1,82c2f3f0-63b8-46cc-aedc-3a856956ef04,2014-09-12 11:15:07.263000
111,None,726,3,0122151a-9140-4663-a3eb-a442d88bc1bb,2014-09-12 11:15:07.263000
112,None,1318,4,5035e4d6-3758-4fa6-a462-2e2ecf52e6f0,2014-09-12 11:15:07.263000
113,None,1886,4,8a84966c-5d38-41ca-990f-ad107558a6b8,2014-09-12 11:15:07.263000
114,None,724,4,bcc5ae61-8214-44a1-a43c-fbd65c3745ae,2014-09-12 11:15:07.263000
115,None,1320,1,080f7047-8396-4cec-ab43-56cf41de4e00,2014-09-12 11:15:07.263000
116,None,1884,5,061c4697-f808-4c31-823e-5e8e60efe0aa,2014-09-12 11:15:07.263000
117,None,722,5,18406109-f4ac-4f30-a96f-4e056996de56,2014-09-12 11:15:07.263000
118,None,1322,6,5feafbd2-4a43-4641-8e94-b3059b2a882e,2014-09-12 11:15:07.263000
119,None,1882,6,d13245ef-8267-4cb4-87c9-c23155d33e93,2014-09-12 11:15:07.263000
120,None,720,6,25863c18-4c9a-4bc9-be0d-95f4cf67bf7d,2014-09-12 11:15:07.263000
121,None,1324,7,7472ff87-0fbc-4d1f-b599-d47b51b41cf0,2014-09-12 11:15:07.263000
122,None,1880,8,094eb96d-d265-474d-869e-d9bace4745a7,2014-09-12 11:15:07.263000
123,None,718,9,bc0a8115-7e8f-4faa-947f-fd315c30250d,2014-09-12 11:15:07.263000
124,None,1326,10,2f614c31-abae-42d0-820b-193f0ddc811e,2014-09-12 11:15:07.263000
125,None,1878,2,69af6e37-ead1-4fbd-82f0-61ce3b35f943,2014-09-12 11:15:07.263000
126,None,716,2,b03efe01-3333-4805-9913-99323c143526,2014-09-12 11:15:07.263000
127,None,1328,1,ef55103f-acc7-4bfd-89b1-20a04845e706,2014-09-12 11:15:07.263000
128,None,1876,1,03f73e74-8de5-421e-b5af-04b259268dd6,2014-09-12 11:15:07.263000
129,None,714,3,e03db34c-bf17-407d-9423-fa22dbfdd292,2014-09-12 11:15:07.263000
130,None,1330,4,606ecdc2-6443-4e4b-897f-32d4c17ab894,2014-09-12 11:15:07.263000
131,None,1874,4,ed0df7cc-6234-4d60-8b81-315c019f5356,2014-09-12 11:15:07.263000
132,None,712,3,7649e8af-3dab-43aa-b7df-9776f84dfb71,2014-09-12 11:15:07.263000
133,None,978,4,4f61574b-8353-42ec-825c-87896e6e16a4,2014-09-12 11:15:07.263000
134,None,1872,5,fd0d8467-48d9-42b8-a4e6-dabc96f58925,2014-09-12 11:15:07.263000
135,None,710,5,dffd552f-30e0-488a-ac07-83c9a7b075c7,2014-09-12 11:15:07.263000
136,None,980,6,84cd4767-f142-4d9d-9033-ad3ade34bf74,2014-09-12 11:15:07.263000
137,None,418,6,d6a1aee7-25ef-4417-ab10-65bc21661864,2014-09-12 11:15:07.263000
138,None,708,6,91b9ef4b-2fa8-4936-ac71-1fa1b3624d12,2014-09-12 11:15:07.263000
139,None,982,7,23a1a3e2-16f0-40aa-87d4-f4ae97d12581,2014-09-12 11:15:07.263000
140,None,416,8,01cd7e33-edd0-46a9-8505-f3e85d9f21f4,2014-09-12 11:15:07.263000
141,None,706,9,e0b29cc8-066d-4f7f-98c3-0f5136bb85d9,2014-09-12 11:15:07.263000
142,None,984,10,b821d13f-e9db-4a3b-87d0-7e867a161575,2014-09-12 11:15:07.263000
143,None,520,2,95e93efe-78e9-470c-b4a7-4dd6a5d0f14b,2014-09-12 11:15:07.263000
144,None,704,2,53c1a4ac-2de2-4ab5-808f-523be758ad29,2014-09-12 11:15:07.263000
145,None,522,1,fec5609d-042b-4480-b1ba-55f2d4107327,2014-09-12 11:15:07.263000
146,None,518,1,5475e9dd-98ca-4989-b7a2-3fc929beea12,2014-09-12 11:15:07.263000
147,None,702,3,03836a0b-7ad8-4115-8d23-6efa0d8deea1,2014-09-12 11:15:07.263000
148,None,524,3,79355855-a002-4393-bb6e-36f90913fa4d,2014-09-12 11:15:07.263000
149,None,516,3,baa99d94-2fc2-4a1c-8b67-2c3210eb90c3,2014-09-12 11:15:07.263000
150,None,700,4,285c5dd7-75d6-460d-97ba-aa86d86637c0,2014-09-12 11:15:07.263000
151,None,526,4,7f2891f7-dd88-470b-95ae-cc9a7d732b1f,2014-09-12 11:15:07.263000
152,None,650,5,e07b697e-74c1-4f52-818f-32531696f7ab,2014-09-12 11:15:07.263000
153,None,514,5,10c2da66-32a2-4c63-998f-9b18cdd6e3b0,2014-09-12 11:15:07.263000
154,None,626,6,4f60f75e-b20a-4056-874c-b7f3bd33bf3f,2014-09-12 11:15:07.263000
155,None,648,6,3b56cd66-5ddf-430c-ab41-3ff6a1836868,2014-09-12 11:15:07.263000
156,None,512,6,cfffaafb-98dc-4392-84f9-fb3229f35265,2014-09-12 11:15:07.263000
157,None,628,7,da4968b5-6ba0-4478-bbdc-3a00e9a1b59e,2014-09-12 11:15:07.263000
158,None,646,8,c48cfb9b-45a2-4dc2-b932-ba8c2572e833,2014-09-12 11:15:07.263000
159,None,456,9,eb0f31c8-c2cf-46cd-8f92-c4059190a9c6,2014-09-12 11:15:07.263000
160,None,658,10,b42d510d-3ae4-4911-88cf-8d90d6bd0922,2014-09-12 11:15:07.263000
161,None,820,2,5a1817b3-6c90-4c17-adf8-b30a06f92141,2014-09-12 11:15:07.263000
162,None,454,2,f4d0ee10-e276-4a3d-8d3b-e1904195f1b8,2014-09-12 11:15:07.263000
163,None,660,1,989f9f3a-7cb8-4083-8cda-291c682be73c,2014-09-12 11:15:07.263000
164,None,818,1,5a323aca-74a2-4ca0-aa3b-e1ae299aad08,2014-09-12 11:15:07.263000
165,None,506,4,3cdbd3ea-da78-4f9a-8eec-8da4c050c817,2014-09-12 11:15:07.263000
166,None,662,4,f644d9dc-4ced-49e8-8587-ce859e466dfa,2014-09-12 11:15:07.263000
167,None,816,4,515d4a13-4e60-4d0c-8f22-bb89a9d312ad,2014-09-12 11:15:07.263000
168,None,504,4,fce18386-f492-4d4a-a6d2-fb7ef20c57fc,2014-09-12 11:15:07.263000
169,None,804,1,2d6bbc35-bc19-4cb4-a61b-46899d3a4237,2014-09-12 11:15:07.263000
170,None,814,5,1f8334e8-3ddc-4530-a1d2-e0bab826476e,2014-09-12 11:15:07.263000
171,None,502,5,3c40e926-090d-4a7a-9e9d-d9222ae910c5,2014-09-12 11:15:07.263000
172,None,806,6,324c671d-dd10-4ee2-857a-767917acc2a3,2014-09-12 11:15:07.263000
173,None,812,6,fdc12e98-898b-4c22-972f-f0ebfbfcb7b0,2014-09-12 11:15:07.263000
174,None,500,6,9c4ddefa-aabd-4a51-ab90-998985fb7d2f,2014-09-12 11:15:07.263000
175,None,808,7,66f2342a-7cc4-4f5f-a218-8791b21a9173,2014-09-12 11:15:07.263000
176,None,446,8,10219f9c-bef1-4cac-a435-d75342c43153,2014-09-12 11:15:07.263000
177,None,688,9,6abc1437-87ff-49fe-8b91-9eeeeb4143d4,2014-09-12 11:15:07.263000
178,None,810,10,05b8fb77-fc67-4279-aebd-4162d21b9a11,2014-09-12 11:15:07.263000
179,None,444,2,f7f8b200-1294-4419-9dac-8194231ac9b7,2014-09-12 11:15:07.263000
180,None,686,3,f7cff29e-f164-424e-b005-bf8cf317af27,2014-09-12 11:15:07.263000
181,None,1292,1,3d3d4cd0-7f5d-4bd9-a589-08881095bc5a,2014-09-12 11:15:07.263000
182,None,442,1,d3da2ff4-51c0-4fcb-a936-1b910458d752,2014-09-12 11:15:07.263000
183,None,684,3,b2051957-b411-44e1-bca5-63fecb5368f2,2014-09-12 11:15:07.263000
184,None,1294,4,a65c523a-498d-4314-a727-d17a8b2779f6,2014-09-12 11:15:07.263000
185,None,1196,4,5014e91d-7b0e-495a-b429-ff915be9d2fd,2014-09-12 11:15:07.263000
186,None,682,4,48d3e26e-c051-4b24-a37f-a88f5294f25f,2014-09-12 11:15:07.263000
187,None,1296,4,3329ce97-bb9f-4c36-9197-a6eee803bd94,2014-09-12 11:15:07.263000
188,None,1194,5,2af36044-25f9-476c-961d-a8efd29e2c4f,2014-09-12 11:15:07.263000
189,None,680,5,3ed50d2b-a57b-4238-bb31-2f96996db362,2014-09-12 11:15:07.263000
190,None,1298,6,91154406-0118-4a11-bb1b-366edfb5c97a,2014-09-12 11:15:07.263000
191,None,1192,6,a2f63e12-1c66-41c2-aac0-57d87f1861d9,2014-09-12 11:15:07.263000
192,None,678,6,84401968-8977-4380-9b4e-d5149c8126c0,2014-09-12 11:15:07.263000
193,None,1300,7,74cb0417-1626-4586-a8c8-6f0331b08c50,2014-09-12 11:15:07.263000
194,None,1190,8,3941081b-24ed-44f1-8009-cd17693423a0,2014-09-12 11:15:07.263000
195,None,676,9,cd4cc2c3-9fb4-4dab-95cc-a054b1171786,2014-09-12 11:15:07.263000
196,None,1302,10,5f0eb2d3-4691-4f71-8e9b-a3eacfa4a1d5,2014-09-12 11:15:07.263000
197,None,1188,3,47b64828-bc4c-4940-aa23-92006bf0d7f1,2014-09-12 11:15:07.263000
198,None,452,3,b17de285-df9a-487b-8773-75844a101cd0,2014-09-12 11:15:07.263000
199,None,1304,1,f0cd52d1-b838-451e-b015-5414ab7d9154,2014-09-12 11:15:07.263000
200,None,1186,1,7c96c878-a038-4b2f-825f-016c922d6407,2014-09-12 11:15:07.263000
201,None,450,4,ff8eb66d-37d8-46fb-b6e2-30a1fac37947,2014-09-12 11:15:07.263000
202,None,1306,4,e50d76bb-e3f7-419f-a6d2-20061538fcea,2014-09-12 11:15:07.263000
203,None,1184,4,b05aaa08-abc9-41e1-b113-65347a2ee406,2014-09-12 11:15:07.263000
204,None,448,4,c807870f-fa5d-44cb-b373-47ecac52c1d8,2014-09-12 11:15:07.263000
205,None,1404,4,9db0bd27-5ce6-4f6d-8c90-a85422b86060,2014-09-12 11:15:07.263000
206,None,1182,5,f0b3a736-dd1d-4412-af94-083990d01965,2014-09-12 11:15:07.263000
207,None,414,5,ca07b43c-6fb2-4160-b1ac-faaea2a1ccf1,2014-09-12 11:15:07.263000
208,None,1406,6,6005e7a8-0101-4be2-b8c1-f4ad936e496f,2014-09-12 11:15:07.263000
209,None,1180,6,e5a50573-0d83-4200-a80c-9f690af69fcc,2014-09-12 11:15:07.263000
210,None,412,6,ff748558-ea94-4c67-a764-d1480b0f8548,2014-09-12 11:15:07.263000
211,None,1408,7,98158631-9d58-4222-bcbd-cb0b90cbce17,2014-09-12 11:15:07.263000
212,None,1178,8,4db27c1b-60ce-4060-b84d-2f83f7a04c4a,2014-09-12 11:15:07.263000
213,None,410,9,374eaca4-b406-4d8e-b122-184efc4122fa,2014-09-12 11:15:07.263000
214,None,1410,10,402e4d5f-27c3-4197-87e8-32aa42e41bb6,2014-09-12 11:15:07.263000
215,None,1176,2,3c8fda7c-6e91-4779-a45e-234774092c78,2014-09-12 11:15:07.263000
216,None,544,2,4f58a074-ea37-49f8-b0c1-fdc3e0a08677,2014-09-12 11:15:07.263000
217,None,1412,1,5cfc3a75-ddc6-4c65-b4c3-15bf96c92983,2014-09-12 11:15:07.263000
218,None,1174,1,3c098480-0d9b-409c-8156-c7610415ac5b,2014-09-12 11:15:07.263000
219,None,1172,3,d39ccce3-c4a6-441d-8a3c-96507627746d,2014-09-12 11:15:07.263000
220,None,542,3,81305a48-9f6e-4415-b7aa-488ba04a8f7e,2014-09-12 11:15:07.263000
221,None,1414,4,98ea497e-45d0-4c54-821a-4fdd9a751095,2014-09-12 11:15:07.263000
222,None,1170,3,3db84b19-4063-4ec2-b1b4-317dee133a25,2014-09-12 11:15:07.263000
223,None,1158,3,994837fe-10a8-47df-b7b8-86c4e6932fd0,2014-09-12 11:15:07.263000
224,None,1416,5,8b943679-47d7-48f4-bbb9-1020a2f634cd,2014-09-12 11:15:07.263000
225,None,1168,5,ad085784-02a0-4a02-b79c-446a9f8f7ebf,2014-09-12 11:15:07.263000
226,None,1156,6,cf860e9b-816a-406e-a64a-7965772d5487,2014-09-12 11:15:07.263000
227,None,1418,6,1ffa0236-84ee-415a-be61-94ce863715ea,2014-09-12 11:15:07.263000
228,None,1166,6,c751dd7e-51d9-4d2d-aeed-c818eee56ceb,2014-09-12 11:15:07.263000
229,None,1154,7,25b9f9fc-40b0-463f-b6b9-b345e7b46874,2014-09-12 11:15:07.263000
230,None,1420,8,6ac62ad2-ff1f-4151-b2a2-969847a7baf1,2014-09-12 11:15:07.263000
231,None,550,9,0ac6fef1-c8d5-46f7-8e4c-fe522a0e4917,2014-09-12 11:15:07.263000
232,None,1152,10,aa451bd5-ffc2-436c-a295-81b350a5b899,2014-09-12 11:15:07.263000
233,None,1422,2,4e10867d-98da-4ccc-adf2-92a3edb6e7c1,2014-09-12 11:15:07.263000
234,None,548,2,60552adb-643c-461a-9dfd-57029760b59a,2014-09-12 11:15:07.263000
235,None,1150,1,a4df6d50-5068-4fa9-b4ca-a3195eb29bb6,2014-09-12 11:15:07.263000
236,None,1424,1,21801fb2-6ea6-4fe5-9444-7e09e8ba907c,2014-09-12 11:15:07.263000
237,None,546,3,b8f7d9d3-e498-40c2-8c7e-fb1c98c43756,2014-09-12 11:15:07.263000
238,None,1148,3,3ecd14cb-463c-4375-b81b-d6e60a48b83d,2014-09-12 11:15:07.263000
239,None,1426,4,48aa4a1e-f209-4b29-a276-113ec94aa6dd,2014-09-12 11:15:07.263000
240,None,1956,4,c581a495-5772-4eb1-943a-9e94e2387814,2014-09-12 11:15:07.263000
241,None,1146,4,ff342e5e-445c-4900-aa71-f15656a7d24d,2014-09-12 11:15:07.263000
242,None,1428,5,01d8cef9-298d-49a8-afc4-ffa9f5b6d1f0,2014-09-12 11:15:07.263000
243,None,1954,5,62f14fdc-02da-47ec-a1af-5b95e963a14b,2014-09-12 11:15:07.263000
244,None,1144,6,8ff82bed-93d5-4248-99e2-47f53055ec2d,2014-09-12 11:15:07.263000
245,None,1430,6,4a122bdd-4393-42bc-ad49-37e43a0414f6,2014-09-12 11:15:07.263000
246,None,1952,6,cee9f2df-2be7-48b9-8e41-343adc82f8c4,2014-09-12 11:15:07.263000
247,None,1142,7,0764e4db-c9d4-4c8b-964d-f7fad1c567fb,2014-09-12 11:15:07.263000
248,None,1432,8,cf89a228-a4d7-4c95-abdc-181f2716892e,2014-09-12 11:15:07.263000
249,None,1950,9,c2c4f287-0fbe-436c-8fb8-0e95125dfe61,2014-09-12 11:15:07.263000
250,None,1140,10,cb1ed6cb-18a1-4f7c-8079-dc400b6e506f,2014-09-12 11:15:07.263000
251,None,1434,2,50fc67e2-4fea-4191-a01b-e850214b3b3e,2014-09-12 11:15:07.263000
252,None,1948,2,3cea9dd6-e7d0-4892-87d1-4bba655bcc7a,2014-09-12 11:15:07.263000
253,None,1138,1,e09ab347-7fb1-453f-a4bd-377e68ec8c33,2014-09-12 11:15:07.263000
254,None,472,1,2f89e8dd-a3c3-4ed4-a604-4b3d45dd1bea,2014-09-12 11:15:07.263000
255,None,1946,4,0a21109f-02b0-4601-b4f7-2ed62c342385,2014-09-12 11:15:07.263000
256,None,1136,4,0b6db35b-b8b4-4b51-9154-c33e12b38c75,2014-09-12 11:15:07.263000
257,None,474,4,a24f5a79-dd85-4eb2-a6a2-6e7026763ff8,2014-09-12 11:15:07.263000
258,None,1944,4,5549df48-409f-4c2a-b97b-900eb598843c,2014-09-12 11:15:07.263000
259,None,1134,4,2c3f7a56-819c-4e83-b791-3ce02366d3cf,2014-09-12 11:15:07.263000
260,None,476,5,0446b06c-94d3-44df-96d3-0baf8124e5d4,2014-09-12 11:15:07.263000
261,None,1942,5,f6b51fea-d82e-440f-bc5e-508d33ba7d0f,2014-09-12 11:15:07.263000
262,None,1132,6,1c783210-2b1e-46e2-a2c8-23e610feeb3c,2014-09-12 11:15:07.263000
263,None,580,6,f665a873-61a2-4b21-b9ff-b5903beaf759,2014-09-12 11:15:07.263000
264,None,1940,6,a5ce11ce-239c-4849-9683-14f37025a2c1,2014-09-12 11:15:07.263000
265,None,590,7,1cd5e09a-9c62-4ad1-9c86-0e17a4512d6e,2014-09-12 11:15:07.263000
266,None,582,8,4af6204a-8c86-435d-85d7-b4fa11c5ae93,2014-09-12 11:15:07.263000
267,None,1938,9,e4659480-ca31-4fcd-ac59-79ddc831839f,2014-09-12 11:15:07.263000
268,None,588,10,0c316f6f-5d54-41fd-86a3-6ecaf31a01dd,2014-09-12 11:15:07.263000
269,None,584,2,c8d788bb-bdbe-48a7-b0bf-b1b0488d9b9f,2014-09-12 11:15:07.263000
