salesorderid,creditcardid,cardtype
44535,12102,ColonialVoice
44536,4789,SuperiorCard
44537,13667,Vista
44538,13468,SuperiorCard
44539,16905,Distinguish
44540,11011,ColonialVoice
44541,4842,Vista
44542,13366,ColonialVoice
44543,15648,Distinguish
44544,17861,Distinguish
44545,8991,ColonialVoice
44546,18386,ColonialVoice
44547,6452,SuperiorCard
44548,11652,Distinguish
44549,8663,SuperiorCard
44550,7475,ColonialVoice
44551,9973,Distinguish
44552,13160,SuperiorCard
44553,13420,ColonialVoice
44554,15842,SuperiorCard
44555,10234,SuperiorCard
44556,15321,ColonialVoice
44557,13104,Distinguish
44558,161,Vista
44559,4835,Vista
44560,6191,SuperiorCard
44561,11815,SuperiorCard
44562,8103,Distinguish
44563,10270,SuperiorCard
44564,12177,Vista
44565,2759,Distinguish
44566,15798,SuperiorCard
44567,1660,Vista
44568,11781,ColonialVoice
44569,6264,Vista
44570,2470,ColonialVoice
44572,13261,Distinguish
44573,17701,ColonialVoice
44574,8849,Distinguish
44575,9230,Distinguish
44576,7042,SuperiorCard
44577,8971,Vista
44578,1931,Vista
44579,14662,ColonialVoice
44580,5628,Distinguish
44581,2633,Vista
44582,6223,Distinguish
44584,14573,Distinguish
44585,5521,Distinguish
44586,2801,Vista
44587,1288,ColonialVoice
44588,949,Vista
44589,10254,SuperiorCard
44590,2173,Vista
44591,13021,ColonialVoice
44592,2294,Distinguish
44593,3831,ColonialVoice
44594,5230,Distinguish
44595,15348,ColonialVoice
44596,4298,SuperiorCard
44597,14849,ColonialVoice
44598,2398,SuperiorCard
44599,735,Distinguish
44600,11957,ColonialVoice
44602,10507,Distinguish
44603,19022,SuperiorCard
44604,16007,SuperiorCard
44605,2011,SuperiorCard
44606,13609,Distinguish
44607,2609,ColonialVoice
44608,2811,ColonialVoice
44609,13250,ColonialVoice
44610,19164,ColonialVoice
44611,2634,SuperiorCard
44612,9376,Vista
44613,261,ColonialVoice
44614,7952,SuperiorCard
44615,16087,ColonialVoice
44616,14338,SuperiorCard
44617,9509,Distinguish
44619,11868,ColonialVoice
44621,12879,ColonialVoice
44622,15452,Vista
44623,10091,Vista
44624,17117,Vista
44625,18313,SuperiorCard
44626,5005,Distinguish
44627,10958,Vista
44628,5303,ColonialVoice
44629,7792,SuperiorCard
44630,13120,ColonialVoice
44631,10078,SuperiorCard
44632,7406,Vista
44633,17458,Vista
44634,11837,SuperiorCard
44635,17513,Vista
44636,3709,Vista
44637,6835,Vista
44638,6636,SuperiorCard
44639,3534,SuperiorCard
44640,6719,Distinguish
44641,19182,SuperiorCard
44642,223,SuperiorCard
44643,2334,SuperiorCard
44644,10618,ColonialVoice
44645,11312,Distinguish
44646,759,SuperiorCard
44647,1759,ColonialVoice
44648,5495,SuperiorCard
44649,18132,SuperiorCard
44650,967,Distinguish
44651,13014,ColonialVoice
44652,6625,Vista
44653,13272,ColonialVoice
44654,12353,Vista
44655,18919,SuperiorCard
44656,12162,SuperiorCard
44657,5503,ColonialVoice
44658,1429,SuperiorCard
44659,5011,Distinguish
44660,12574,Vista
44661,4865,SuperiorCard
44662,13204,Vista
44663,13628,SuperiorCard
44664,2277,Distinguish
44665,3279,ColonialVoice
44666,15971,Distinguish
44667,14045,Vista
44668,1903,Vista
44669,13827,Vista
44670,16223,Vista
44671,18941,Vista
44673,4936,Distinguish
44674,12111,SuperiorCard
44675,12003,Distinguish
44676,1157,Vista
44677,10406,Vista
44678,3407,Distinguish
44679,5910,SuperiorCard
44680,12457,Distinguish
44681,12632,ColonialVoice
44682,3244,Distinguish
44683,400,Vista
44684,9592,Vista
44685,6602,ColonialVoice
44686,8515,Vista
44687,18445,Distinguish
44688,12899,Vista
44689,5723,Vista
44690,4095,Vista
44693,8827,Vista
44694,16668,ColonialVoice
44695,5003,Distinguish
44696,4384,Distinguish
44697,4531,ColonialVoice
44698,18059,Distinguish
44699,13396,Distinguish
44700,10315,Distinguish
44701,6555,ColonialVoice
44702,16811,ColonialVoice
44703,5942,ColonialVoice
44704,4165,ColonialVoice
44705,10049,SuperiorCard
44706,6784,Vista
44707,11233,SuperiorCard
44708,2131,SuperiorCard
44709,12657,Distinguish
44710,16999,SuperiorCard
44711,4458,Distinguish
44713,7311,Vista
44714,11734,Vista
44715,16106,SuperiorCard
44716,16123,ColonialVoice
44717,18307,ColonialVoice
44718,7115,Distinguish
44719,16795,SuperiorCard
44720,16865,Distinguish
44721,13457,Vista
44722,1017,Vista
44723,7052,Vista
44724,3177,Vista
44725,11932,Distinguish
44726,14366,ColonialVoice
44727,2569,Distinguish
44728,19037,Distinguish
44729,8638,SuperiorCard
44730,17722,SuperiorCard
44731,8910,ColonialVoice
44732,18281,SuperiorCard
44734,8856,Distinguish
44735,17222,Vista
44736,2392,Vista
44737,2581,ColonialVoice
44738,11846,Vista
44739,12665,Vista
44740,17368,SuperiorCard
44741,13278,ColonialVoice
44742,19011,SuperiorCard
44743,7829,Vista
44744,6065,ColonialVoice
44745,5110,Vista
44746,8552,Vista
44747,7454,Vista
44748,3787,Distinguish
44749,4357,ColonialVoice
44750,12698,ColonialVoice
44751,16253,Vista
44752,18407,SuperiorCard
44753,8033,Distinguish
44754,17935,ColonialVoice
44755,7126,SuperiorCard
44756,3047,Vista
44757,11555,Distinguish
44758,19154,Distinguish
44759,14064,ColonialVoice
44760,11215,SuperiorCard
44761,18100,ColonialVoice
44762,7392,ColonialVoice
44763,19078,SuperiorCard
44764,17658,Distinguish
44765,319,SuperiorCard
44766,6955,Vista
44767,17132,ColonialVoice
44768,7160,ColonialVoice
44769,7079,Distinguish
44770,7092,SuperiorCard
44771,5220,Vista
44772,15369,ColonialVoice
44773,18813,Vista
44774,778,SuperiorCard
44775,7347,SuperiorCard
44776,12933,ColonialVoice
44777,14486,Vista
44778,7146,SuperiorCard
44779,17669,Vista
44780,18707,Distinguish
44781,16704,SuperiorCard
44782,4524,Vista
44783,18418,ColonialVoice
44784,12135,ColonialVoice
44785,17073,Distinguish
44786,4215,SuperiorCard
44787,18496,Distinguish
44788,12214,Distinguish
44789,13601,Distinguish
44790,5609,Distinguish
44791,5164,Vista
44792,7845,SuperiorCard
44793,8882,ColonialVoice
44794,16654,ColonialVoice
44795,7293,ColonialVoice
44796,626,Distinguish
44797,3788,Vista
44798,17915,Distinguish
44799,7600,Distinguish
44800,8010,Vista
44801,18875,Distinguish
44802,15682,SuperiorCard
44803,5413,ColonialVoice
44804,16457,Vista
44805,13844,Distinguish
44806,12811,Vista
44807,1895,SuperiorCard
44808,16987,Vista
44809,12362,ColonialVoice
44811,2883,SuperiorCard
44812,16624,Vista
44813,4059,ColonialVoice
