productid,name,productnumber,makeflag,finishedgoodsflag,color,safetystocklevel,reorderpoint,standardcost,listprice,size,sizeunitmeasurecode,weightunitmeasurecode,weight,daystomanufacture,productline,class,style,productsubcategoryid,productmodelid,sellstartdate,sellenddate,discontinueddate,rowguid,modifieddate
344,Flat Washer 9,FW-3400,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,0ae4ce60-5242-48f5-ada1-3013ff45f969,2014-02-08 10:01:36.827000
345,Flat Washer 4,FW-3800,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,2c1c58b4-234c-4b3a-8c8e-84524ac05eea,2014-02-08 10:01:36.827000
346,Flat Washer 3,FW-5160,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,590c2c3f-a8b6-42b5-9412-d655e37f0eae,2014-02-08 10:01:36.827000
347,Flat Washer 8,FW-5800,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,1b73f5fe-ab85-49fc-99ad-0500cebda91d,2014-02-08 10:01:36.827000
348,Flat Washer 5,FW-7160,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,d182cf18-4ddf-429b-a0df-de1cfc92622d,2014-02-08 10:01:36.827000
349,Flat Washer 7,FW-9160,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,7e55f64d-ea3c-45ff-be72-f7f7b9d61a79,2014-02-08 10:01:36.827000
350,Fork Crown,FC-3654,True,False,None,800,600,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,1cbfa85b-5c9b-4b58-9c17-95238215d926,2014-02-08 10:01:36.827000
351,Front Derailleur Cage,FC-3982,False,False,Silver,800,600,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,01c901e3-4323-48ed-ab9e-9bfda28bdef6,2014-02-08 10:01:36.827000
352,Front Derailleur Linkage,FL-2301,False,False,Silver,800,600,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,88ed2e08-e775-4915-b506-831600b773fd,2014-02-08 10:01:36.827000
355,Guide Pulley,GP-0982,False,False,None,800,600,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,6a89205b-90c3-4997-8c63-bc6a5ebc752d,2014-02-08 10:01:36.827000
356,LL Grip Tape,GT-0820,False,False,None,800,600,0,0,None,None,None,None,0,None,L ,None,None,None,2008-04-30 00:00:00,None,None,32c82181-1969-4660-ae04-a02d51994ec1,2014-02-08 10:01:36.827000
357,ML Grip Tape,GT-1209,False,False,None,800,600,0,0,None,None,None,None,0,None,M ,None,None,None,2008-04-30 00:00:00,None,None,09343e22-2494-4279-9f32-5d961a0fbfea,2014-02-08 10:01:36.827000
358,HL Grip Tape,GT-2908,False,False,None,800,600,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,8e5b2bf7-81dd-4454-b75e-d9ae2a6fbd26,2014-02-08 10:01:36.827000
359,Thin-Jam Hex Nut 9,HJ-1213,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a63aff3c-4143-4016-bc99-d3f80ec1ade5,2014-02-08 10:01:36.827000
360,Thin-Jam Hex Nut 10,HJ-1220,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a1ae0c6d-92a5-4fda-b33b-1301e83efe5b,2014-02-08 10:01:36.827000
361,Thin-Jam Hex Nut 1,HJ-1420,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,e33e8c4c-282a-4d1f-91e7-e9969cf7134f,2014-02-08 10:01:36.827000
362,Thin-Jam Hex Nut 2,HJ-1428,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a992684f-4642-4856-a817-2c0740ae8c55,2014-02-08 10:01:36.827000
363,Thin-Jam Hex Nut 15,HJ-3410,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,b9d9a30d-cb07-422d-a312-f0535575337e,2014-02-08 10:01:36.827000
364,Thin-Jam Hex Nut 16,HJ-3416,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,0ec8f653-24c9-41b6-86f5-39c1789db580,2014-02-08 10:01:36.827000
365,Thin-Jam Hex Nut 5,HJ-3816,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,94506c9d-5991-46a7-82ea-00e05d8d9b9c,2014-02-08 10:01:36.827000
366,Thin-Jam Hex Nut 6,HJ-3824,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,71e984c6-1d11-4cf2-baee-6c8df494bdad,2014-02-08 10:01:36.827000
367,Thin-Jam Hex Nut 3,HJ-5161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,efc09cdb-ecd5-4db5-9e27-277dda6d7f50,2014-02-08 10:01:36.827000
368,Thin-Jam Hex Nut 4,HJ-5162,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,0a0c93aa-d06c-48aa-99eb-20f2c8a6d6c4,2014-02-08 10:01:36.827000
369,Thin-Jam Hex Nut 13,HJ-5811,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a2728648-9517-4dec-8606-d7d98ecd1e91,2014-02-08 10:01:36.827000
370,Thin-Jam Hex Nut 14,HJ-5818,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,0a7ad37c-3696-4844-8633-9fddcd5fcefc,2014-02-08 10:01:36.827000
371,Thin-Jam Hex Nut 7,HJ-7161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,acbb1de1-680c-4034-a8c5-3c6b01e57aa7,2014-02-08 10:01:36.827000
372,Thin-Jam Hex Nut 8,HJ-7162,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a0da8f8f-45fb-4e62-ab14-aa229087de1e,2014-02-08 10:01:36.827000
373,Thin-Jam Hex Nut 12,HJ-9080,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,db99cbcd-f18d-4979-8dcf-1012f3b1cb15,2014-02-08 10:01:36.827000
374,Thin-Jam Hex Nut 11,HJ-9161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,ec2e54f5-9d07-4c26-b969-40f835395be3,2014-02-08 10:01:36.827000
375,Hex Nut 5,HN-1024,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,f2f3a14c-df15-4957-966d-55e5fcad1161,2014-02-08 10:01:36.827000
376,Hex Nut 6,HN-1032,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,e73e44dd-f0b7-45d4-9066-e49f1b1fe7d0,2014-02-08 10:01:36.827000
377,Hex Nut 16,HN-1213,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,2b2a5641-bffe-4079-b9f0-8bf355bc3996,2014-02-08 10:01:36.827000
378,Hex Nut 17,HN-1220,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,f70bbecd-5be7-4ee9-a9e7-15786e622ba9,2014-02-08 10:01:36.827000
379,Hex Nut 7,HN-1224,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,ba3631d1-33d6-4a2f-8413-758bfda6f9c2,2014-02-08 10:01:36.827000
380,Hex Nut 8,HN-1420,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,b478b33a-1fd5-4db6-b99a-eb3b2a7c1623,2014-02-08 10:01:36.827000
381,Hex Nut 9,HN-1428,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,da46d979-59df-456d-b5ae-e7e89fc589df,2014-02-08 10:01:36.827000
382,Hex Nut 22,HN-3410,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,2f457404-197d-4ddf-9868-a3aad1b32d6b,2014-02-08 10:01:36.827000
383,Hex Nut 23,HN-3416,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,5f02449e-96e5-4fc8-ade0-8a9a7f533624,2014-02-08 10:01:36.827000
384,Hex Nut 12,HN-3816,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,32c97696-7c3d-4793-a54b-3d73200badbc,2014-02-08 10:01:36.827000
385,Hex Nut 13,HN-3824,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,8f0902d0-274d-4a4b-8fde-e37f53b2ab29,2014-02-08 10:01:36.827000
386,Hex Nut 1,HN-4402,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,57456f8c-cb78-45ec-b9b8-21a9be5c12f5,2014-02-08 10:01:36.827000
387,Hex Nut 10,HN-5161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,955811b4-2f17-48f0-a8b4-0c96cba4aa6d,2014-02-08 10:01:36.827000
388,Hex Nut 11,HN-5162,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,7d4bad17-374f-4281-9ae5-49abc3fe585d,2014-02-08 10:01:36.827000
389,Hex Nut 2,HN-5400,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,17c4b7ba-8574-4ec7-bd3b-7a51aba61f69,2014-02-08 10:01:36.827000
390,Hex Nut 20,HN-5811,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,b4e990b7-b3f7-4f97-8f98-ce373833adb4,2014-02-08 10:01:36.827000
391,Hex Nut 21,HN-5818,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,433ee702-e028-4630-895c-8cdbd0f1fd89,2014-02-08 10:01:36.827000
392,Hex Nut 3,HN-6320,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,ee76fae0-161e-409c-a6f5-837b5b8b344d,2014-02-08 10:01:36.827000
393,Hex Nut 14,HN-7161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,eb10b88c-5351-4c06-af51-116baa48a2c8,2014-02-08 10:01:36.827000
394,Hex Nut 15,HN-7162,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,35e28755-e8f0-47be-a8be-a20836dbe28d,2014-02-08 10:01:36.827000
395,Hex Nut 4,HN-8320,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,69ab8d5e-6101-4203-81b1-794e923782ea,2014-02-08 10:01:36.827000
396,Hex Nut 18,HN-9161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,39d42384-66f6-4ccd-b471-0589fc3fc576,2014-02-08 10:01:36.827000
397,Hex Nut 19,HN-9168,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,b63f827e-9055-4678-9e90-4ffd8d06d4d4,2014-02-08 10:01:36.827000
398,Handlebar Tube,HT-2981,True,False,None,800,600,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,9f88c58e-5cfa-46c9-8994-da4f3ffe92ed,2014-02-08 10:01:36.827000
399,Head Tube,HT-8019,True,False,None,800,600,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,b047c048-b4fb-4f80-94bc-c5fc00a6f77f,2014-02-08 10:01:36.827000
400,LL Hub,HU-6280,True,False,None,500,375,0,0,None,None,None,None,1,None,L ,None,None,None,2008-04-30 00:00:00,None,None,ab332dda-dda5-44ad-8c50-34ffaceffa8e,2014-02-08 10:01:36.827000
401,HL Hub,HU-8998,True,False,None,500,375,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,d59403a3-d19e-4803-bda2-b436a6416fda,2014-02-08 10:01:36.827000
402,Keyed Washer,KW-4091,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,43024784-2741-4cab-a6dc-8050ce507f2e,2014-02-08 10:01:36.827000
403,External Lock Washer 3,LE-1000,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,763412f0-6d53-43e2-b371-dcbed69f5e98,2014-02-08 10:01:36.827000
404,External Lock Washer 4,LE-1200,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,89b6e84f-5c08-4cd9-b803-01f2ce24e417,2014-02-08 10:01:36.827000
405,External Lock Washer 9,LE-1201,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,3330a721-e8cb-4e67-8d27-300db68c2395,2014-02-08 10:01:36.827000
406,External Lock Washer 5,LE-1400,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,39314098-768b-49f9-a777-af2e3bb06b17,2014-02-08 10:01:36.827000
407,External Lock Washer 7,LE-3800,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,93f7bc73-bd22-45a0-9f2e-a11932342e6b,2014-02-08 10:01:36.827000
408,External Lock Washer 6,LE-5160,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,dc5f4cb0-a599-42cd-a96f-e9f01bc1dacc,2014-02-08 10:01:36.827000
409,External Lock Washer 1,LE-6000,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,802b7687-bc74-43f8-98ae-2112166faca7,2014-02-08 10:01:36.827000
410,External Lock Washer 8,LE-7160,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,02c48826-21ad-41f3-85a6-bc9a85a4dce4,2014-02-08 10:01:36.827000
411,External Lock Washer 2,LE-8000,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,502a2a3d-cd72-43ad-8fb6-77505187edf4,2014-02-08 10:01:36.827000
412,Internal Lock Washer 3,LI-1000,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,f1168c45-e4d2-4c37-adad-b76eaf402b71,2014-02-08 10:01:36.827000
413,Internal Lock Washer 4,LI-1200,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,7f7413bb-bad2-47e4-9bc4-d98b194be35d,2014-02-08 10:01:36.827000
414,Internal Lock Washer 9,LI-1201,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,4f040109-8332-4fcf-8084-57e6d8c49283,2014-02-08 10:01:36.827000
415,Internal Lock Washer 5,LI-1400,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,0c02f2cc-bdb4-4794-a4f9-0eb33f7545c2,2014-02-08 10:01:36.827000
416,Internal Lock Washer 7,LI-3800,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,3c2ac5bc-3f49-4fa4-8340-bc4cda983f46,2014-02-08 10:01:36.827000
417,Internal Lock Washer 6,LI-5160,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,7f175dfe-1669-4ee9-8eeb-7b55fce9961c,2014-02-08 10:01:36.827000
418,Internal Lock Washer 10,LI-5800,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,c8323eec-bdb2-4933-b3c6-24287638ad56,2014-02-08 10:01:36.827000
419,Internal Lock Washer 1,LI-6000,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,71f8232d-2b59-41ac-99a1-f5ea197671b5,2014-02-08 10:01:36.827000
420,Internal Lock Washer 8,LI-7160,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,e2f03586-02e8-4cd9-a342-1a8d65d393bd,2014-02-08 10:01:36.827000
421,Internal Lock Washer 2,LI-8000,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,97741a88-92a1-4e72-b0aa-bcb198a1c378,2014-02-08 10:01:36.827000
422,Thin-Jam Lock Nut 9,LJ-1213,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,7da2613b-3347-4072-a1dc-943ada161d7f,2014-02-08 10:01:36.827000
423,Thin-Jam Lock Nut 10,LJ-1220,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a88f15be-2719-4741-93a4-2d96ef3712eb,2014-02-08 10:01:36.827000
424,Thin-Jam Lock Nut 1,LJ-1420,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,48461e5d-d58a-47e5-8ba3-ce4430fca611,2014-02-08 10:01:36.827000
425,Thin-Jam Lock Nut 2,LJ-1428,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,36187eb6-ad84-47b7-a55e-2941d3435fe2,2014-02-08 10:01:36.827000
426,Thin-Jam Lock Nut 15,LJ-3410,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,99215648-afe8-4556-bc80-b6c62ae74fc8,2014-02-08 10:01:36.827000
427,Thin-Jam Lock Nut 16,LJ-3416,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,b4fc4c32-049c-417f-bbb0-f19cdfd64252,2014-02-08 10:01:36.827000
428,Thin-Jam Lock Nut 5,LJ-3816,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a57b7915-2e65-49de-87ba-acd007c55adb,2014-02-08 10:01:36.827000
429,Thin-Jam Lock Nut 6,LJ-3824,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,5abd940c-d61f-4108-8312-0ea97e469613,2014-02-08 10:01:36.827000
430,Thin-Jam Lock Nut 3,LJ-5161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,9883496f-4785-4bfc-8af3-c357347b9f89,2014-02-08 10:01:36.827000
431,Thin-Jam Lock Nut 4,LJ-5162,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,8c5ee683-d93c-4f25-9454-22faa4c31365,2014-02-08 10:01:36.827000
432,Thin-Jam Lock Nut 13,LJ-5811,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,38e4a447-3d3c-4087-abad-97f006525b52,2014-02-08 10:01:36.827000
433,Thin-Jam Lock Nut 14,LJ-5818,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,dce24b6c-76d8-4934-a4f6-c934364943ea,2014-02-08 10:01:36.827000
434,Thin-Jam Lock Nut 7,LJ-7161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,344ad07c-cca5-4374-a3f3-8a7e0a1d9916,2014-02-08 10:01:36.827000
435,Thin-Jam Lock Nut 8,LJ-7162,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,b2508cf2-c64f-493d-9db4-0d6601af1f73,2014-02-08 10:01:36.827000
436,Thin-Jam Lock Nut 12,LJ-9080,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,5d3e589f-4584-406b-b9cc-3c8c060cb9a5,2014-02-08 10:01:36.827000
437,Thin-Jam Lock Nut 11,LJ-9161,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,64169a28-161c-4737-b724-f42ffd99de80,2014-02-08 10:01:36.827000
438,Lock Nut 5,LN-1024,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,eb4c1d34-4816-4130-bb30-07b4de4072b6,2014-02-08 10:01:36.827000
439,Lock Nut 6,LN-1032,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,98ccbb38-4683-486e-bbfe-cbbe4ea63c03,2014-02-08 10:01:36.827000
440,Lock Nut 16,LN-1213,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,bbfd88f8-28c5-44ee-b625-52e882393dfc,2014-02-08 10:01:36.827000
